217.164.0.0,217.164.111.255,isp,AE 
217.164.112.0,217.164.122.255,business,AE 
217.164.123.0,217.164.123.255,isp,AE 
217.164.124.0,217.164.125.63,business,AE 
217.164.125.64,217.164.159.255,isp,AE 
217.164.160.0,217.164.163.255,business,AE 
217.164.164.0,217.164.191.255,isp,AE 
217.164.192.0,217.164.199.255,business,AE 
217.164.200.0,217.165.239.255,isp,AE 
