217.138.0.0,217.138.0.255,hosting,GB,AS16247 
217.138.1.0,217.138.12.255,business,GB,AS16247 
217.138.13.0,217.138.13.127,hosting,GB,AS16247 
217.138.13.128,217.138.191.207,business,GB,AS16247 
217.138.191.208,217.138.191.215,hosting,GB,AS16247 
217.138.191.216,217.138.191.223,business,GB,AS16247 
217.138.191.224,217.138.191.255,hosting,GB,AS16247 
217.138.192.0,217.138.192.255,hosting,HU,AS9009 
217.138.193.0,217.138.193.255,business,AE,AS9009 
217.138.194.0,217.138.194.255,hosting,DE,AS9009 
217.138.195.0,217.138.195.255,hosting,GB,AS9009 
217.138.196.0,217.138.196.255,business,GB,AS9009 
217.138.197.0,217.138.197.255,hosting,IT,AS9009 
217.138.198.0,217.138.198.255,hosting,US,AS9009 
217.138.199.0,217.138.199.255,hosting,CZ,AS9009 
217.138.200.0,217.138.200.255,hosting,CA,AS9009 
217.138.201.0,217.138.201.95,hosting,SG,AS9009 
217.138.201.96,217.138.201.127,hosting,HK,AS9009 
217.138.201.128,217.138.201.255,hosting,SG,AS9009 
217.138.202.0,217.138.202.255,hosting,BG,AS9009 
217.138.203.0,217.138.203.255,hosting,CH,AS9009 
217.138.204.0,217.138.205.255,hosting,AU,AS9009 
217.138.206.0,217.138.206.255,hosting,US,AS9009 
217.138.207.0,217.138.207.255,hosting,FR,AS9009 
217.138.208.0,217.138.208.255,hosting,US,AS9009 
217.138.209.0,217.138.209.255,hosting,PL,AS9009 
217.138.210.0,217.138.210.255,business,GB,AS16247 
217.138.211.0,217.138.211.255,hosting,BE,AS9009 
217.138.212.0,217.138.212.255,hosting,JP,AS9009 
217.138.213.0,217.138.213.255,hosting,CA,AS9009 
217.138.214.0,217.138.214.255,hosting,DE,AS9009 
217.138.215.0,217.138.215.255,hosting,NL,AS9009 
217.138.216.0,217.138.216.255,hosting,DE,AS9009 
217.138.217.0,217.138.217.255,hosting,US,AS9009 
217.138.218.0,217.138.218.255,hosting,ES,AS9009 
217.138.219.0,217.138.219.255,hosting,IT,AS9009 
217.138.220.0,217.138.220.255,hosting,CZ,AS9009 
217.138.221.0,217.138.221.255,hosting,BG,AS9009 
217.138.222.0,217.138.222.255,hosting,IE,AS9009 
217.138.223.0,217.138.251.255,business,GB,AS16247 
217.138.252.0,217.138.252.255,hosting,JP,AS9009 
217.138.253.0,217.138.254.255,hosting,GB,AS9009 
217.138.255.0,217.138.255.255,hosting,US,AS9009 
