217.174.0.0,217.174.15.255,isp,RU,AS34629 
217.174.16.0,217.174.31.255,hosting,IR,AS31303 
217.174.32.0,217.174.47.255,isp,TR,AS20978 
217.174.48.0,217.174.62.255,isp,BG,AS29084 
217.174.63.0,217.174.63.255,isp,BL,AS29084 
217.174.64.0,217.174.95.255,isp,SE,AS2119 
217.174.96.0,217.174.100.255,hosting,RU,AS20655 
217.174.101.0,217.174.101.255,business,RU,AS20655 
217.174.102.0,217.174.111.255,hosting,RU,AS20655 
217.174.112.0,217.174.118.159,hosting,IT,AS8816 
217.174.118.160,217.174.118.167,business,IT,AS8816 
217.174.118.168,217.174.118.223,hosting,IT,AS8816 
217.174.118.224,217.174.118.239,business,IT,AS8816 
217.174.118.240,217.174.120.0,hosting,IT,AS8816 
217.174.120.1,217.174.120.79,business,IT,AS8816 
217.174.120.80,217.174.120.87,isp,IT,AS8816 
217.174.120.88,217.174.120.95,hosting,IT,AS8816 
217.174.120.96,217.174.120.127,business,IT,AS8816 
217.174.120.128,217.174.120.159,hosting,IT,AS8816 
217.174.120.160,217.174.120.175,business,IT,AS8816 
217.174.120.176,217.174.120.255,hosting,IT,AS8816 
217.174.121.0,217.174.121.63,business,IT,AS8816 
217.174.121.64,217.174.121.95,hosting,IT,AS8816 
217.174.121.96,217.174.121.127,business,IT,AS8816 
217.174.121.128,217.174.121.223,hosting,IT,AS8816 
217.174.121.224,217.174.121.255,business,IT,AS8816 
217.174.122.0,217.174.127.255,hosting,IT,AS8816 
217.174.128.0,217.174.143.255,isp,IT,AS48862 
217.174.144.0,217.174.144.255,hosting,BG,AS42347 
217.174.145.0,217.174.145.255,business,BG, 
217.174.146.0,217.174.149.255,hosting,BG,AS31083 
217.174.150.0,217.174.150.255,business,BG,AS57344 
217.174.151.0,217.174.153.255,hosting,BG,AS31083 
217.174.154.0,217.174.154.255,business,BG,AS57344 
217.174.155.0,217.174.155.255,hosting,BG,AS31083 
217.174.156.0,217.174.156.255,hosting,BG,AS201200 
217.174.157.0,217.174.157.255,isp,BG, 
217.174.158.0,217.174.158.255,business,BG,AS205128 
217.174.159.0,217.174.159.255,education,BG,AS57344 
217.174.160.0,217.174.167.255,hosting,RU,AS5563 
217.174.168.0,217.174.175.255,isp,RU,AS5563 
217.174.176.0,217.174.178.135,business,RU,AS33904 
217.174.178.136,217.174.178.159,isp,RU,AS33904 
217.174.178.160,217.174.178.191,education,RU,AS33904 
217.174.178.192,217.174.178.255,isp,RU,AS33904 
217.174.179.0,217.174.181.79,business,RU,AS33904 
217.174.181.80,217.174.181.255,isp,RU,AS33904 
217.174.182.0,217.174.184.63,business,RU,AS33904 
217.174.184.64,217.174.184.79,isp,RU,AS33904 
217.174.184.80,217.174.187.255,business,RU,AS33904 
217.174.188.0,217.174.189.255,hosting,RU,AS47764 
217.174.190.0,217.174.191.255,business,NL,AS47764 
217.174.192.0,217.174.195.127,hosting,FR,AS16128 
217.174.195.128,217.174.195.143,isp,FR,AS16128 
217.174.195.144,217.174.198.255,hosting,FR,AS16128 
217.174.199.0,217.174.199.63,business,FR,AS16128 
217.174.199.64,217.174.199.159,hosting,FR,AS16128 
217.174.199.160,217.174.199.191,business,FR,AS16128 
217.174.199.192,217.174.199.239,hosting,FR,AS16128 
217.174.199.240,217.174.199.255,business,FR,AS16128 
217.174.200.0,217.174.201.159,hosting,FR,AS16128 
217.174.201.160,217.174.201.167,isp,FR,AS16128 
217.174.201.168,217.174.206.47,hosting,FR,AS16128 
217.174.206.48,217.174.206.63,isp,FR,AS16128 
217.174.206.64,217.174.206.191,hosting,FR,AS16128 
217.174.206.192,217.174.206.223,business,FR,AS16128 
217.174.206.224,217.174.206.239,hosting,FR,AS16128 
217.174.206.240,217.174.206.255,business,FR,AS16128 
217.174.207.0,217.174.208.131,hosting,FR,AS16128 
217.174.208.132,217.174.208.135,isp,FR,AS16128 
217.174.208.136,217.174.210.223,hosting,FR,AS16128 
217.174.210.224,217.174.210.239,isp,FR,AS16128 
217.174.210.240,217.174.212.255,hosting,FR,AS16128 
217.174.213.0,217.174.213.255,business,FR,AS16128 
217.174.214.0,217.174.214.255,hosting,FR,AS16128 
217.174.215.0,217.174.215.255,business,FR,AS16128 
217.174.216.0,217.174.216.223,hosting,FR,AS16128 
217.174.216.224,217.174.216.255,hosting,,AS16128 
217.174.217.0,217.174.217.31,hosting,FR,AS16128 
217.174.217.32,217.174.217.47,business,FR,AS16128 
217.174.217.48,217.174.217.95,hosting,FR,AS16128 
217.174.217.96,217.174.217.127,business,FR,AS16128 
217.174.217.128,217.174.217.191,hosting,FR,AS16128 
217.174.217.192,217.174.217.223,business,FR,AS16128 
217.174.217.224,217.174.217.239,isp,FR,AS16128 
217.174.217.240,217.174.223.255,hosting,FR,AS16128 
217.174.224.0,217.174.239.255,hosting,TM,AS20661 
217.174.240.0,217.174.243.255,business,GB,AS8560 
217.174.244.0,217.174.255.255,hosting,GB,AS8560 
