46.245.0.0,46.245.63.255,isp,IR,AS47262 
46.245.64.0,46.245.127.255,hosting,IR,AS43754 
46.245.128.0,46.245.135.255,isp,RU,AS43530 
46.245.136.0,46.245.136.55,hosting,GR,AS197580 
46.245.136.56,46.245.136.59,business,GR,AS197580 
46.245.136.60,46.245.136.79,hosting,GR,AS197580 
46.245.136.80,46.245.136.83,business,GR,AS197580 
46.245.136.84,46.245.136.87,hosting,GR,AS197580 
46.245.136.88,46.245.136.91,business,GR,AS197580 
46.245.136.92,46.245.136.119,hosting,GR,AS197580 
46.245.136.120,46.245.136.127,business,GR,AS197580 
46.245.136.128,46.245.136.191,hosting,GR,AS197580 
46.245.136.192,46.245.136.223,business,GR,AS197580 
46.245.136.224,46.245.138.255,hosting,GR,AS197580 
46.245.139.0,46.245.139.7,business,GR,AS197580 
46.245.139.8,46.245.139.31,hosting,GR,AS197580 
46.245.139.32,46.245.139.47,business,GR,AS197580 
46.245.139.48,46.245.139.79,hosting,GR,AS197580 
46.245.139.80,46.245.139.87,business,GR,AS197580 
46.245.139.88,46.245.139.151,hosting,GR,AS197580 
46.245.139.152,46.245.139.159,business,GR,AS197580 
46.245.139.160,46.245.139.191,hosting,GR,AS197580 
46.245.139.192,46.245.139.195,business,GR,AS197580 
46.245.139.196,46.245.140.19,hosting,GR,AS197580 
46.245.140.20,46.245.140.23,business,GR,AS197580 
46.245.140.24,46.245.140.35,hosting,GR,AS197580 
46.245.140.36,46.245.140.39,business,GR,AS197580 
46.245.140.40,46.245.140.43,hosting,GR,AS197580 
46.245.140.44,46.245.140.45,business,GR,AS197580 
46.245.140.46,46.245.140.55,hosting,GR,AS197580 
46.245.140.56,46.245.140.57,business,GR,AS197580 
46.245.140.58,46.245.140.107,hosting,GR,AS197580 
46.245.140.108,46.245.140.109,business,GR,AS197580 
46.245.140.110,46.245.140.119,hosting,GR,AS197580 
46.245.140.120,46.245.140.121,business,GR,AS197580 
46.245.140.122,46.245.140.167,hosting,GR,AS197580 
46.245.140.168,46.245.140.175,business,GR,AS197580 
46.245.140.176,46.245.140.239,hosting,GR,AS197580 
46.245.140.240,46.245.140.247,business,GR,AS197580 
46.245.140.248,46.245.141.39,hosting,GR,AS197580 
46.245.141.40,46.245.141.47,business,GR,AS197580 
46.245.141.48,46.245.141.63,hosting,GR,AS197580 
46.245.141.64,46.245.141.95,business,GR,AS197580 
46.245.141.96,46.245.141.159,hosting,GR,AS197580 
46.245.141.160,46.245.141.191,business,GR,AS197580 
46.245.141.192,46.245.143.15,hosting,GR,AS197580 
46.245.143.16,46.245.143.23,business,GR,AS197580 
46.245.143.24,46.245.143.71,hosting,GR,AS197580 
46.245.143.72,46.245.143.87,business,GR,AS197580 
46.245.143.88,46.245.143.95,hosting,GR,AS197580 
46.245.143.96,46.245.143.127,business,GR,AS197580 
46.245.143.128,46.245.143.143,hosting,GR,AS197580 
46.245.143.144,46.245.143.159,business,GR,AS197580 
46.245.143.160,46.245.143.199,hosting,GR,AS197580 
46.245.143.200,46.245.143.207,business,GR,AS197580 
46.245.143.208,46.245.143.223,hosting,GR,AS197580 
46.245.143.224,46.245.143.255,business,GR,AS197580 
46.245.144.0,46.245.146.63,isp,CH,AS3303 
46.245.146.64,46.245.146.127,business,CH,AS3303 
46.245.146.128,46.245.148.63,isp,CH,AS3303 
46.245.148.64,46.245.148.127,business,CH,AS3303 
46.245.148.128,46.245.151.127,isp,CH,AS3303 
46.245.151.128,46.245.151.147,business,CH,AS3303 
46.245.151.148,46.245.151.255,isp,CH,AS3303 
46.245.152.0,46.245.159.255,business,SE,AS43591 
46.245.160.0,46.245.162.0,hosting,TR,AS197143 
46.245.162.1,46.245.162.255,business,TR,AS197143 
46.245.163.0,46.245.166.191,hosting,TR,AS197143 
46.245.166.192,46.245.166.255,business,TR,AS197143 
46.245.167.0,46.245.167.255,hosting,TR,AS197143 
46.245.168.0,46.245.168.127,isp,RU,AS48848 
46.245.168.128,46.245.175.255,hosting,RU,AS48848 
46.245.176.0,46.245.177.255,business,DE,AS41412 
46.245.178.0,46.245.181.255,hosting,DE,AS41412 
46.245.182.0,46.245.183.255,business,DE,AS41412 
46.245.184.0,46.245.191.255,isp,CH,AS35518 
46.245.192.0,46.245.192.15,hosting,PL,AS31229 
46.245.192.16,46.245.192.63,business,PL,AS31229 
46.245.192.64,46.245.192.159,hosting,PL,AS31229 
46.245.192.160,46.245.192.175,business,PL,AS31229 
46.245.192.176,46.245.194.79,hosting,PL,AS31229 
46.245.194.80,46.245.194.103,business,PL,AS31229 
46.245.194.104,46.245.194.119,hosting,PL,AS31229 
46.245.194.120,46.245.194.143,business,PL,AS31229 
46.245.194.144,46.245.194.159,hosting,PL,AS31229 
46.245.194.160,46.245.194.175,business,PL,AS31229 
46.245.194.176,46.245.194.191,hosting,PL,AS31229 
46.245.194.192,46.245.194.239,business,PL,AS31229 
46.245.194.240,46.245.195.15,hosting,PL,AS31229 
46.245.195.16,46.245.195.31,isp,PL,AS31229 
46.245.195.32,46.245.195.95,hosting,PL,AS31229 
46.245.195.96,46.245.195.127,business,PL,AS31229 
46.245.195.128,46.245.195.159,hosting,PL,AS31229 
46.245.195.160,46.245.195.175,business,PL,AS31229 
46.245.195.176,46.245.195.223,hosting,PL,AS31229 
46.245.195.224,46.245.196.63,business,PL,AS31229 
46.245.196.64,46.245.196.79,hosting,PL,AS31229 
46.245.196.80,46.245.196.111,business,PL,AS31229 
46.245.196.112,46.245.196.191,hosting,PL,AS31229 
46.245.196.192,46.245.196.255,business,PL,AS31229 
46.245.197.0,46.245.197.31,hosting,PL,AS31229 
46.245.197.32,46.245.197.95,business,PL,AS31229 
46.245.197.96,46.245.197.127,hosting,PL,AS31229 
46.245.197.128,46.245.197.143,business,PL,AS31229 
46.245.197.144,46.245.197.159,hosting,PL,AS31229 
46.245.197.160,46.245.197.255,business,PL,AS31229 
46.245.198.0,46.245.199.127,hosting,PL,AS31229 
46.245.199.128,46.245.199.159,business,PL,AS31229 
46.245.199.160,46.245.199.191,hosting,PL,AS31229 
46.245.199.192,46.245.199.255,business,PL,AS31229 
46.245.200.0,46.245.207.255,isp,AT,AS43957 
46.245.208.0,46.245.208.255,business,IE,AS61194 
46.245.209.0,46.245.215.15,hosting,IE,AS61194 
46.245.215.16,46.245.215.23,isp,IE,AS61194 
46.245.215.24,46.245.215.255,hosting,IE,AS61194 
46.245.216.0,46.245.217.7,hosting,DE,AS60294 
46.245.217.8,46.245.217.23,business,DE,AS60294 
46.245.217.24,46.245.217.39,hosting,DE,AS60294 
46.245.217.40,46.245.217.47,business,DE,AS60294 
46.245.217.48,46.245.217.59,hosting,DE,AS60294 
46.245.217.60,46.245.217.67,business,DE,AS60294 
46.245.217.68,46.245.217.71,hosting,DE,AS60294 
46.245.217.72,46.245.217.75,business,DE,AS60294 
46.245.217.76,46.245.217.79,hosting,DE,AS60294 
46.245.217.80,46.245.217.87,business,DE,AS60294 
46.245.217.88,46.245.217.91,hosting,DE,AS60294 
46.245.217.92,46.245.217.95,business,DE,AS60294 
46.245.217.96,46.245.217.127,hosting,DE,AS60294 
46.245.217.128,46.245.217.131,business,DE,AS60294 
46.245.217.132,46.245.217.135,hosting,DE,AS60294 
46.245.217.136,46.245.217.151,business,DE,AS60294 
46.245.217.152,46.245.217.159,hosting,DE,AS60294 
46.245.217.160,46.245.217.191,business,DE,AS60294 
46.245.217.192,46.245.220.39,hosting,DE,AS60294 
46.245.220.40,46.245.220.47,business,DE,AS60294 
46.245.220.48,46.245.220.87,hosting,DE,AS60294 
46.245.220.88,46.245.220.111,business,DE,AS60294 
