46.218.0.0,46.218.0.16,isp,FR 
46.218.0.17,46.218.0.17,business,FR 
46.218.0.18,46.218.66.111,isp,FR 
46.218.66.112,46.218.66.127,business,FR 
46.218.66.128,46.218.128.67,isp,FR 
46.218.128.68,46.218.128.71,business,FR 
46.218.128.72,46.218.128.243,isp,FR 
46.218.128.244,46.218.128.247,business,FR 
46.218.128.248,46.218.191.255,isp,FR 
46.218.192.0,46.218.192.15,business,FR 
46.218.192.16,46.218.192.24,isp,FR 
46.218.192.25,46.218.192.118,business,FR 
46.218.192.119,46.218.192.119,isp,FR 
46.218.192.120,46.218.192.199,business,FR 
46.218.192.200,46.218.192.207,isp,FR 
46.218.192.208,46.218.192.215,business,FR 
46.218.192.216,46.218.192.223,isp,FR 
46.218.192.224,46.218.193.23,business,FR 
46.218.193.24,46.218.193.31,isp,FR 
46.218.193.32,46.218.193.40,business,FR 
46.218.193.41,46.218.193.41,isp,FR 
46.218.193.42,46.218.193.47,business,FR 
46.218.193.48,46.218.193.55,isp,FR 
46.218.193.56,46.218.193.79,business,FR 
46.218.193.80,46.218.193.87,isp,FR 
46.218.193.88,46.218.193.103,business,FR 
46.218.193.104,46.218.193.119,isp,FR 
46.218.193.120,46.218.193.123,business,FR 
46.218.193.124,46.218.193.131,isp,FR 
46.218.193.132,46.218.193.159,business,FR 
46.218.193.160,46.218.193.175,isp,FR 
46.218.193.176,46.218.193.199,business,FR 
46.218.193.200,46.218.193.203,isp,FR 
46.218.193.204,46.218.193.215,business,FR 
46.218.193.216,46.218.193.227,isp,FR 
46.218.193.228,46.218.194.95,business,FR 
46.218.194.96,46.218.194.103,isp,FR 
46.218.194.104,46.218.194.195,business,FR 
46.218.194.196,46.218.194.207,isp,FR 
46.218.194.208,46.218.195.3,business,FR 
46.218.195.4,46.218.195.23,isp,FR 
46.218.195.24,46.218.195.31,business,FR 
46.218.195.32,46.218.195.47,isp,FR 
46.218.195.48,46.218.195.56,business,FR 
46.218.195.57,46.218.195.63,isp,FR 
46.218.195.64,46.218.195.95,business,FR 
46.218.195.96,46.218.195.111,isp,FR 
46.218.195.112,46.218.195.140,business,FR 
46.218.195.141,46.218.195.151,isp,FR 
46.218.195.152,46.218.195.159,business,FR 
46.218.195.160,46.218.195.183,isp,FR 
46.218.195.184,46.218.195.214,business,FR 
46.218.195.215,46.218.195.215,isp,FR 
46.218.195.216,46.218.195.251,business,FR 
46.218.195.252,46.218.195.255,isp,FR 
46.218.196.0,46.218.196.39,business,FR 
46.218.196.40,46.218.196.47,isp,FR 
46.218.196.48,46.218.196.55,business,FR 
46.218.196.56,46.218.196.79,isp,FR 
46.218.196.80,46.218.196.107,business,FR 
46.218.196.108,46.218.196.111,isp,FR 
46.218.196.112,46.218.196.119,business,FR 
46.218.196.120,46.218.196.127,isp,FR 
46.218.196.128,46.218.196.159,business,FR 
46.218.196.160,46.218.196.171,isp,FR 
46.218.196.172,46.218.196.183,business,FR 
46.218.196.184,46.218.196.187,isp,FR 
46.218.196.188,46.218.196.199,business,FR 
46.218.196.200,46.218.196.211,isp,FR 
46.218.196.212,46.218.196.247,business,FR 
46.218.196.248,46.218.197.3,isp,FR 
46.218.197.4,46.218.197.32,business,FR 
46.218.197.33,46.218.197.39,isp,FR 
