46.238.0.0,46.238.63.255,isp,BG 
46.238.64.0,46.238.127.255,isp,PL 
46.238.128.0,46.238.191.255,isp,GP 
46.238.192.0,46.238.195.255,education,PL 
46.238.196.0,46.238.199.255,business,PL 
46.238.200.0,46.238.211.255,education,PL 
46.238.212.0,46.238.219.255,business,PL 
46.238.220.0,46.238.223.255,education,PL 
46.238.224.0,46.238.232.255,business,PL 
46.238.233.0,46.238.233.255,education,PL 
46.238.234.0,46.238.255.255,business,PL 
