46.162.0.0,46.162.63.255,isp,RU,AS24881 
46.162.64.0,46.162.98.255,isp,SE,AS29518 
46.162.99.0,46.162.99.127,business,SE,AS29518 
46.162.99.128,46.162.100.255,isp,SE,AS29518 
46.162.101.0,46.162.101.255,business,SE,AS29518 
46.162.102.0,46.162.111.255,isp,SE,AS29518 
46.162.112.0,46.162.112.255,business,SE,AS29518 
46.162.113.0,46.162.115.255,isp,SE,AS29518 
46.162.116.0,46.162.116.255,business,SE,AS29518 
46.162.117.0,46.162.118.255,isp,SE,AS29518 
46.162.119.0,46.162.119.255,business,SE,AS29518 
46.162.120.0,46.162.120.255,isp,SE,AS29518 
46.162.121.0,46.162.121.255,business,SE,AS29518 
46.162.122.0,46.162.122.255,isp,SE,AS29518 
46.162.123.0,46.162.123.255,business,SE,AS29518 
46.162.124.0,46.162.127.255,isp,SE,AS29518 
46.162.128.0,46.162.151.255,business,FR,AS8362 
46.162.152.0,46.162.153.255,isp,FR,AS8362 
46.162.154.0,46.162.170.255,business,FR,AS8362 
46.162.171.0,46.162.172.255,isp,FR,AS8362 
46.162.173.0,46.162.179.255,business,FR,AS8362 
46.162.180.0,46.162.180.255,isp,FR,AS8362 
46.162.181.0,46.162.182.255,business,FR,AS8362 
46.162.183.0,46.162.187.255,isp,FR,AS8362 
46.162.188.0,46.162.191.255,business,FR,AS8362 
46.162.192.0,46.162.255.255,isp,AM,AS44395 
