46.100.0.0,46.100.63.255,isp,IR,AS58224 
46.100.64.0,46.100.67.255,isp,IR, 
46.100.68.0,46.100.103.255,isp,IR,AS58224 
46.100.104.0,46.100.105.255,business,IR,AS58224 
46.100.106.0,46.100.106.127,isp,IR,AS58224 
46.100.106.128,46.100.106.143,education,IR,AS58224 
46.100.106.144,46.100.179.255,isp,IR,AS58224 
46.100.180.0,46.100.183.255,business,IR,AS58224 
46.100.184.0,46.100.235.255,isp,IR,AS58224 
46.100.236.0,46.100.239.255,business,IR,AS58224 
46.100.240.0,46.100.253.255,isp,IR,AS58224 
46.100.254.0,46.100.255.255,isp,IR, 
