46.140.0.0,46.140.72.63,isp,CH 
46.140.72.64,46.140.72.71,business,CH 
46.140.72.72,46.140.128.95,isp,CH 
46.140.128.96,46.140.128.127,business,CH 
46.140.128.128,46.140.128.159,isp,CH 
46.140.128.160,46.140.128.191,education,CH 
46.140.128.192,46.140.129.159,isp,CH 
46.140.129.160,46.140.129.175,business,CH 
46.140.129.176,46.140.129.207,isp,CH 
46.140.129.208,46.140.129.239,business,CH 
46.140.129.240,46.140.130.55,isp,CH 
46.140.130.56,46.140.130.79,business,CH 
46.140.130.80,46.140.130.103,isp,CH 
46.140.130.104,46.140.130.111,business,CH 
46.140.130.112,46.140.130.191,isp,CH 
46.140.130.192,46.140.130.199,business,CH 
46.140.130.200,46.140.130.207,isp,CH 
46.140.130.208,46.140.130.215,business,CH 
46.140.130.216,46.140.131.3,isp,CH 
46.140.131.4,46.140.131.7,business,CH 
46.140.131.8,46.140.131.15,isp,CH 
46.140.131.16,46.140.131.23,business,CH 
46.140.131.24,46.140.131.27,isp,CH 
46.140.131.28,46.140.131.31,business,CH 
46.140.131.32,46.140.131.119,isp,CH 
46.140.131.120,46.140.131.123,business,CH 
46.140.131.124,46.140.132.191,isp,CH 
46.140.132.192,46.140.132.255,business,CH 
46.140.133.0,46.140.133.15,isp,CH 
46.140.133.16,46.140.133.23,business,CH 
46.140.133.24,46.140.133.47,isp,CH 
46.140.133.48,46.140.133.71,business,CH 
46.140.133.72,46.140.133.167,isp,CH 
46.140.133.168,46.140.133.175,business,CH 
46.140.133.176,46.140.134.255,isp,CH 
46.140.135.0,46.140.135.15,business,CH 
46.140.135.16,46.140.136.39,isp,CH 
46.140.136.40,46.140.136.47,business,CH 
46.140.136.48,46.140.136.207,isp,CH 
46.140.136.208,46.140.136.215,business,CH 
46.140.136.216,46.140.137.143,isp,CH 
46.140.137.144,46.140.137.151,business,CH 
46.140.137.152,46.140.139.143,isp,CH 
46.140.139.144,46.140.139.159,business,CH 
46.140.139.160,46.140.142.95,isp,CH 
46.140.142.96,46.140.142.111,business,CH 
46.140.142.112,46.140.143.95,isp,CH 
46.140.143.96,46.140.143.111,business,CH 
46.140.143.112,46.140.145.183,isp,CH 
46.140.145.184,46.140.145.191,business,CH 
46.140.145.192,46.140.145.207,isp,CH 
46.140.145.208,46.140.145.215,business,CH 
46.140.145.216,46.140.148.111,isp,CH 
46.140.148.112,46.140.148.127,business,CH 
46.140.148.128,46.140.148.191,isp,CH 
46.140.148.192,46.140.148.207,business,CH 
46.140.148.208,46.140.150.15,isp,CH 
46.140.150.16,46.140.150.23,business,CH 
46.140.150.24,46.140.150.167,isp,CH 
46.140.150.168,46.140.150.175,business,CH 
46.140.150.176,46.140.151.47,isp,CH 
46.140.151.48,46.140.151.63,business,CH 
46.140.151.64,46.140.151.143,isp,CH 
46.140.151.144,46.140.151.159,business,CH 
46.140.151.160,46.140.153.47,isp,CH 
46.140.153.48,46.140.153.51,business,CH 
46.140.153.52,46.140.153.243,isp,CH 
46.140.153.244,46.140.153.247,business,CH 
46.140.153.248,46.140.155.127,isp,CH 
46.140.155.128,46.140.155.135,business,CH 
46.140.155.136,46.140.155.247,isp,CH 
46.140.155.248,46.140.156.63,business,CH 
46.140.156.64,46.140.157.167,isp,CH 
46.140.157.168,46.140.157.183,business,CH 
46.140.157.184,46.140.159.55,isp,CH 
46.140.159.56,46.140.159.63,business,CH 
46.140.159.64,46.140.161.127,isp,CH 
46.140.161.128,46.140.161.191,business,CH 
46.140.161.192,46.140.162.55,isp,CH 
46.140.162.56,46.140.162.63,business,CH 
46.140.162.64,46.140.163.143,isp,CH 
46.140.163.144,46.140.163.159,business,CH 
46.140.163.160,46.140.165.63,isp,CH 
46.140.165.64,46.140.165.127,business,CH 
46.140.165.128,46.140.166.47,isp,CH 
46.140.166.48,46.140.166.55,business,CH 
46.140.166.56,46.140.166.255,isp,CH 
46.140.167.0,46.140.167.31,business,CH 
46.140.167.32,46.140.167.127,isp,CH 
46.140.167.128,46.140.167.159,business,CH 
46.140.167.160,46.140.169.79,isp,CH 
46.140.169.80,46.140.169.83,business,CH 
46.140.169.84,46.140.169.199,isp,CH 
46.140.169.200,46.140.169.203,business,CH 
46.140.169.204,46.140.171.239,isp,CH 
46.140.171.240,46.140.171.247,business,CH 
46.140.171.248,46.140.171.255,isp,CH 
46.140.172.0,46.140.172.159,business,CH 
46.140.172.160,46.140.172.223,isp,CH 
46.140.172.224,46.140.172.255,business,CH 
46.140.173.0,46.140.173.159,isp,CH 
46.140.173.160,46.140.173.175,business,CH 
46.140.173.176,46.140.174.255,isp,CH 
46.140.175.0,46.140.175.63,business,CH 
46.140.175.64,46.140.176.231,isp,CH 
46.140.176.232,46.140.176.239,business,CH 
46.140.176.240,46.140.180.95,isp,CH 
46.140.180.96,46.140.180.103,business,CH 
46.140.180.104,46.140.180.143,isp,CH 
46.140.180.144,46.140.180.151,business,CH 
46.140.180.152,46.140.180.191,isp,CH 
46.140.180.192,46.140.180.199,business,CH 
46.140.180.200,46.140.180.247,isp,CH 
46.140.180.248,46.140.180.255,business,CH 
46.140.181.0,46.140.181.47,isp,CH 
46.140.181.48,46.140.181.79,business,CH 
46.140.181.80,46.140.182.63,isp,CH 
46.140.182.64,46.140.182.71,business,CH 
46.140.182.72,46.140.182.207,isp,CH 
46.140.182.208,46.140.182.215,business,CH 
46.140.182.216,46.140.183.127,isp,CH 
46.140.183.128,46.140.183.159,business,CH 
46.140.183.160,46.140.186.127,isp,CH 
46.140.186.128,46.140.186.135,business,CH 
46.140.186.136,46.140.186.255,isp,CH 
46.140.187.0,46.140.187.7,business,CH 
46.140.187.8,46.140.187.167,isp,CH 
46.140.187.168,46.140.187.175,business,CH 
46.140.187.176,46.140.192.71,isp,CH 
46.140.192.72,46.140.192.79,business,CH 
46.140.192.80,46.140.193.247,isp,CH 
46.140.193.248,46.140.193.255,business,CH 
46.140.194.0,46.140.194.7,isp,CH 
46.140.194.8,46.140.194.15,business,CH 
46.140.194.16,46.140.194.79,isp,CH 
46.140.194.80,46.140.194.87,business,CH 
46.140.194.88,46.140.194.231,isp,CH 
46.140.194.232,46.140.194.247,business,CH 
46.140.194.248,46.140.195.79,isp,CH 
46.140.195.80,46.140.195.87,business,CH 
46.140.195.88,46.140.195.103,isp,CH 
46.140.195.104,46.140.195.127,business,CH 
46.140.195.128,46.140.195.151,isp,CH 
46.140.195.152,46.140.195.167,business,CH 
46.140.195.168,46.140.206.199,isp,CH 
46.140.206.200,46.140.206.207,business,CH 
46.140.206.208,46.140.241.55,isp,CH 
46.140.241.56,46.140.241.63,business,CH 
46.140.241.64,46.140.244.203,isp,CH 
46.140.244.204,46.140.244.219,business,CH 
46.140.244.220,46.140.244.227,isp,CH 
46.140.244.228,46.140.244.239,business,CH 
46.140.244.240,46.140.244.243,isp,CH 
46.140.244.244,46.140.244.255,business,CH 
46.140.245.0,46.140.246.23,isp,CH 
46.140.246.24,46.140.246.31,business,CH 
46.140.246.32,46.140.246.95,isp,CH 
46.140.246.96,46.140.246.103,business,CH 
46.140.246.104,46.140.246.175,isp,CH 
46.140.246.176,46.140.246.183,business,CH 
46.140.246.184,46.140.246.223,isp,CH 
46.140.246.224,46.140.246.231,business,CH 
46.140.246.232,46.140.247.127,isp,CH 
46.140.247.128,46.140.247.223,business,CH 
46.140.247.224,46.140.255.255,isp,CH 
