46.239.0.0,46.239.63.255,isp,BA,AS25144 
46.239.64.0,46.239.126.255,hosting,SE,AS2840 
46.239.127.0,46.239.127.127,business,SE,AS2840 
46.239.127.128,46.239.127.255,hosting,SE,AS2840 
46.239.128.0,46.239.135.255,education,PL,AS12618 
46.239.136.0,46.239.137.255,education,PL,AS8326 
46.239.138.0,46.239.141.255,education,PL,AS12618 
46.239.142.0,46.239.143.255,business,PL,AS8326 
46.239.144.0,46.239.162.63,education,PL,AS12618 
46.239.162.64,46.239.162.95,business,PL,AS12618 
46.239.162.96,46.239.191.255,education,PL,AS12618 
46.239.192.0,46.239.255.255,business,IS,AS12969 
