46.143.0.0,46.143.127.255,hosting,IR,AS43754 
46.143.128.0,46.143.191.255,isp,SA,AS35753 
46.143.192.0,46.143.207.255,business,GB,AS51897 
46.143.208.0,46.143.211.255,business,IR,AS51897 
46.143.212.0,46.143.215.255,education,IR,AS51897 
46.143.216.0,46.143.243.255,business,GB,AS51897 
46.143.244.0,46.143.247.255,business,IR,AS61008 
46.143.248.0,46.143.251.255,education,IR,AS61008 
46.143.252.0,46.143.255.255,business,GB,AS51897 
