46.237.0.0,46.237.39.255,isp,RU 
46.237.40.0,46.237.63.255,business,RU 
46.237.64.0,46.237.126.255,isp,BG 
46.237.127.0,46.237.127.7,business,BG 
46.237.127.8,46.237.127.31,isp,BG 
46.237.127.32,46.237.127.63,business,BG 
46.237.127.64,46.237.127.79,isp,BG 
46.237.127.80,46.237.127.95,business,BG 
46.237.127.96,46.237.127.111,education,BG 
46.237.127.112,46.237.127.231,isp,BG 
46.237.127.232,46.237.127.239,business,BG 
46.237.127.240,46.237.127.255,isp,BG 
46.237.128.0,46.237.191.255,isp,GB 
46.237.192.0,46.237.255.255,isp,DE 
