46.240.0.0,46.240.127.255,isp,SA 
46.240.128.0,46.240.140.63,isp,RS 
46.240.140.64,46.240.140.79,business,RS 
46.240.140.80,46.240.140.95,isp,RS 
46.240.140.96,46.240.140.159,business,RS 
46.240.140.160,46.240.140.239,isp,RS 
46.240.140.240,46.240.140.255,isp,AT 
46.240.141.0,46.240.142.95,isp,RS 
46.240.142.96,46.240.142.127,business,RS 
46.240.142.128,46.240.191.255,isp,RS 
46.240.192.0,46.240.223.255,business,RS 
46.240.224.0,46.240.255.255,isp,RS 
