167.253.0.0,167.253.3.255,government,US 
167.253.4.0,167.253.7.255,business,CA 
167.253.8.0,167.253.15.255,business,US 
167.253.16.0,167.253.19.255,hosting,US 
167.253.20.0,167.253.20.255,isp,US 
167.253.21.0,167.253.21.255,hosting,US 
167.253.22.0,167.253.23.255,isp,US 
167.253.24.0,167.253.29.255,business,US 
167.253.30.0,167.253.30.255,hosting,US 
167.253.31.0,167.253.33.255,business,CA 
167.253.34.0,167.253.35.255,hosting,US 
167.253.36.0,167.253.37.255,isp,US 
167.253.38.0,167.253.47.255,business,US 
167.253.48.0,167.253.55.255,hosting,US 
167.253.56.0,167.253.56.255,business,US 
167.253.58.0,167.253.60.255,business,US 
167.253.61.0,167.253.61.255,isp,US 
167.253.62.0,167.253.62.255,hosting,US 
167.253.63.0,167.253.63.255,isp,US 
167.253.64.0,167.253.65.255,hosting,US 
167.253.66.0,167.253.67.255,business,US 
167.253.68.0,167.253.71.255,hosting,US 
167.253.72.0,167.253.75.255,business,US 
167.253.76.0,167.253.77.255,business,CA 
167.253.78.0,167.253.79.255,hosting,US 
167.253.80.0,167.253.87.255,isp,US 
167.253.88.0,167.253.91.255,hosting,US 
167.253.92.0,167.253.93.255,isp,US 
167.253.94.0,167.253.95.255,business,US 
167.253.96.0,167.253.99.255,hosting,US 
167.253.100.0,167.253.103.255,business,US 
167.253.104.0,167.253.107.255,hosting,US 
167.253.108.0,167.253.123.255,business,US 
167.253.124.0,167.253.125.255,business,CA 
167.253.126.0,167.253.126.255,business,US 
167.253.127.0,167.253.127.255,business,CA 
167.253.128.0,167.253.131.255,business,US 
167.253.132.0,167.253.135.255,isp,US 
167.253.136.0,167.253.151.255,business,US 
167.253.152.0,167.253.156.255,hosting,US 
167.253.157.0,167.253.157.255,business,SG 
167.253.158.0,167.253.159.255,hosting,SG 
167.253.160.0,167.255.255.255,business,US 
