148.235.0.0,148.235.67.63,isp,MX,AS8151 
148.235.67.64,148.235.67.79,business,MX,AS8151 
148.235.67.80,148.235.138.159,isp,MX,AS8151 
148.235.138.160,148.235.138.175,business,US,AS8151 
148.235.138.176,148.235.142.239,isp,MX,AS8151 
148.235.142.240,148.235.142.255,education,MX,AS8151 
148.235.143.0,148.235.223.255,isp,MX,AS8151 
148.235.224.0,148.235.224.111,isp,MX, 
148.235.224.112,148.235.224.143,isp,MX,AS8151 
148.235.224.144,148.235.230.255,isp,MX, 
148.235.231.0,148.235.255.255,isp,MX,AS8151 
