148.170.0.0,148.170.63.255,isp,US,AS397879 
148.170.64.0,148.170.95.255,isp,US,AS27501 
148.170.96.0,148.170.127.255,isp,US,AS19331 
148.170.128.0,148.170.191.255,isp,CA,AS11260 
148.170.192.0,148.170.223.255,isp,US,AS396287 
148.170.224.0,148.170.224.79,business,US,AS393731 
148.170.224.80,148.170.224.87,isp,US,AS393731 
148.170.224.88,148.170.224.111,business,US,AS393731 
148.170.224.112,148.170.224.215,isp,US,AS393731 
148.170.224.216,148.170.224.239,business,US,AS393731 
148.170.224.240,148.170.224.255,isp,US,AS393731 
148.170.225.0,148.170.225.7,business,US,AS393731 
148.170.225.8,148.170.225.63,isp,US,AS393731 
148.170.225.64,148.170.225.83,business,US,AS393731 
148.170.225.84,148.170.225.111,isp,US,AS393731 
148.170.225.112,148.170.225.127,business,US,AS393731 
148.170.225.128,148.170.225.135,isp,US,AS393731 
148.170.225.136,148.170.225.143,business,US,AS393731 
148.170.225.144,148.170.225.175,isp,US,AS393731 
148.170.225.176,148.170.225.191,business,US,AS393731 
148.170.225.192,148.170.225.199,isp,US,AS393731 
148.170.225.200,148.170.225.207,business,US,AS393731 
148.170.225.208,148.170.228.95,isp,US,AS393731 
148.170.228.96,148.170.228.103,business,US,AS393731 
148.170.228.104,148.170.239.255,isp,US,AS393731 
148.170.240.0,148.170.255.255,business,US,AS20414 
