67.159.0.0,67.159.5.255,business,NL 
67.159.6.0,67.159.8.95,hosting,NL 
67.159.8.96,67.159.8.103,hosting,US 
67.159.8.104,67.159.9.255,hosting,NL 
67.159.10.0,67.159.21.255,hosting,US 
67.159.22.0,67.159.23.255,business,NL 
67.159.24.0,67.159.25.255,hosting,US 
67.159.26.0,67.159.27.255,business,AU 
67.159.28.0,67.159.28.255,hosting,PL 
67.159.29.0,67.159.29.255,hosting,CH 
67.159.30.0,67.159.30.255,business,SE 
67.159.31.0,67.159.31.255,business,AU 
67.159.32.0,67.159.33.255,hosting,BR 
67.159.34.0,67.159.35.255,hosting,US 
67.159.36.0,67.159.37.255,hosting,ZA 
67.159.38.0,67.159.57.255,hosting,US 
67.159.58.0,67.159.58.255,business,ZA 
67.159.59.0,67.159.63.255,hosting,US 
67.159.64.0,67.159.127.255,education,US 
67.159.128.0,67.159.160.11,isp,US 
67.159.160.12,67.159.160.15,business,US 
67.159.160.16,67.159.160.23,isp,US 
67.159.160.24,67.159.160.43,business,US 
67.159.160.44,67.159.160.47,isp,US 
67.159.160.48,67.159.160.55,business,US 
67.159.160.56,67.159.160.71,isp,US 
67.159.160.72,67.159.160.95,business,US 
67.159.160.96,67.159.160.103,isp,US 
67.159.160.104,67.159.160.111,business,US 
67.159.160.112,67.159.160.135,isp,US 
67.159.160.136,67.159.160.159,business,US 
67.159.160.160,67.159.160.235,isp,US 
67.159.160.236,67.159.160.239,business,US 
67.159.160.240,67.159.161.127,isp,US 
67.159.161.128,67.159.161.159,business,US 
67.159.161.160,67.159.161.215,isp,US 
67.159.161.216,67.159.161.223,business,US 
67.159.161.224,67.159.161.239,isp,US 
67.159.161.240,67.159.161.247,business,US 
67.159.161.248,67.159.162.99,isp,US 
67.159.162.100,67.159.162.103,business,US 
67.159.162.104,67.159.162.127,isp,US 
67.159.162.128,67.159.162.131,business,US 
67.159.162.132,67.159.162.143,isp,US 
67.159.162.144,67.159.162.151,business,US 
67.159.162.152,67.159.162.159,isp,US 
67.159.162.160,67.159.162.163,business,US 
67.159.162.164,67.159.162.195,isp,US 
67.159.162.196,67.159.162.199,business,US 
67.159.162.200,67.159.162.223,isp,US 
67.159.162.224,67.159.162.239,business,US 
67.159.162.240,67.159.164.15,isp,US 
67.159.164.16,67.159.164.23,business,US 
67.159.164.24,67.159.164.39,isp,US 
67.159.164.40,67.159.164.47,business,US 
67.159.164.48,67.159.164.111,isp,US 
67.159.164.112,67.159.164.127,business,US 
67.159.164.128,67.159.164.143,isp,US 
67.159.164.144,67.159.164.159,business,US 
67.159.164.160,67.159.164.255,isp,US 
67.159.165.0,67.159.165.15,business,US 
67.159.165.16,67.159.165.47,isp,US 
67.159.165.48,67.159.165.55,business,US 
67.159.165.56,67.159.165.71,isp,US 
67.159.165.72,67.159.165.79,business,US 
67.159.165.80,67.159.165.127,isp,US 
67.159.165.128,67.159.165.143,business,US 
67.159.165.144,67.159.165.179,isp,US 
67.159.165.180,67.159.165.183,business,US 
67.159.165.184,67.159.165.207,isp,US 
67.159.165.208,67.159.165.211,business,US 
67.159.165.212,67.159.166.47,isp,US 
67.159.166.48,67.159.166.55,education,US 
67.159.166.56,67.159.166.63,business,US 
67.159.166.64,67.159.166.87,isp,US 
67.159.166.88,67.159.166.95,business,US 
67.159.166.96,67.159.166.151,isp,US 
67.159.166.152,67.159.166.163,education,US 
67.159.166.164,67.159.166.175,isp,US 
67.159.166.176,67.159.166.191,business,US 
67.159.166.192,67.159.167.3,isp,US 
67.159.167.4,67.159.167.7,business,US 
67.159.167.8,67.159.167.119,isp,US 
67.159.167.120,67.159.167.127,business,US 
67.159.167.128,67.159.167.159,isp,US 
67.159.167.160,67.159.167.167,business,US 
67.159.167.168,67.159.167.203,isp,US 
67.159.167.204,67.159.167.207,business,US 
67.159.167.208,67.159.167.211,isp,US 
67.159.167.212,67.159.167.215,business,US 
