67.230.0.0,67.230.31.255,isp,GT,AS23520 
67.230.32.0,67.230.61.255,isp,JM,AS30689 
67.230.62.0,67.230.63.255,business,JM,AS30689 
67.230.64.0,67.230.64.255,isp,JM,AS23520 
67.230.65.0,67.230.65.7,business,JM,AS30689 
67.230.65.8,67.230.71.255,isp,JM,AS23520 
67.230.72.0,67.230.73.255,isp,JM,AS30689 
67.230.74.0,67.230.74.255,business,JM,AS30689 
67.230.75.0,67.230.76.127,isp,JM,AS30689 
67.230.76.128,67.230.77.255,business,JM,AS30689 
67.230.78.0,67.230.79.255,isp,JM,AS30689 
67.230.80.0,67.230.83.255,isp,US,AS23520 
67.230.84.0,67.230.84.255,business,PR,AS12206 
67.230.85.0,67.230.86.255,isp,US,AS23520 
67.230.87.0,67.230.87.255,isp,US,AS14638 
67.230.88.0,67.230.88.255,isp,US,AS23520 
67.230.89.0,67.230.89.255,business,PR,AS23520 
67.230.90.0,67.230.127.255,isp,US,AS23520 
67.230.128.0,67.230.159.255,isp,CA,AS6407 
67.230.160.0,67.230.191.255,hosting,CA,AS25820 
67.230.192.0,67.230.201.255,education,US,AS13555 
67.230.202.0,67.230.203.255,business,US,AS13555 
67.230.204.0,67.230.204.255,business,US,AS395302 
67.230.205.0,67.230.205.255,education,US,AS13555 
67.230.206.0,67.230.207.255,business,US,AS13555 
67.230.208.0,67.230.223.255,business,US,AS6461 
67.230.224.0,67.230.255.255,business,US,AS36374 
