67.139.65.160,67.139.65.223,business,US,AS7385 
67.139.65.224,67.139.134.191,hosting,US,AS7385 
67.139.134.192,67.139.134.255,business,US,AS7385 
67.139.135.0,67.139.165.127,hosting,US,AS7385 
67.139.165.128,67.139.165.159,business,US,AS7385 
67.139.165.160,67.139.167.127,hosting,US,AS7385 
67.139.167.128,67.139.167.255,business,US,AS7385 
67.139.168.0,67.139.177.255,hosting,US,AS7385 
67.139.178.0,67.139.178.255,business,US,AS7385 
67.139.179.0,67.139.204.255,hosting,US,AS7385 
67.139.205.0,67.139.205.255,business,US,AS7385 
67.139.206.0,67.139.207.255,hosting,US,AS7385 
67.139.208.0,67.139.215.255,hosting,US,AS29951 
67.139.216.0,67.139.229.255,hosting,US,AS7385 
67.139.230.0,67.139.231.255,business,US,AS7385 
67.139.232.0,67.139.255.255,hosting,US,AS7385 
