122.152.0.0,122.152.3.255,isp,JP 
122.152.4.0,122.152.7.255,business,JP 
122.152.8.0,122.152.15.255,isp,JP 
122.152.16.0,122.152.31.255,government,JP 
122.152.32.0,122.152.47.255,business,JP 
122.152.48.0,122.152.55.255,isp,BD 
122.152.56.0,122.152.63.231,isp,JP 
122.152.63.232,122.152.63.239,business,JP 
122.152.63.240,122.152.95.255,isp,JP 
122.152.96.0,122.152.127.255,business,KR 
122.152.128.0,122.152.130.15,isp,JP 
122.152.130.16,122.152.130.23,isp,HK 
122.152.130.24,122.152.130.63,isp,JP 
122.152.130.64,122.152.130.91,business,HK 
122.152.130.92,122.152.130.95,isp,JP 
122.152.130.96,122.152.130.127,business,HK 
122.152.130.128,122.152.130.191,isp,HK 
122.152.130.192,122.152.130.239,business,HK 
122.152.130.240,122.152.130.255,isp,HK 
122.152.131.0,122.152.131.31,isp,JP 
122.152.131.32,122.152.131.55,isp,HK 
122.152.131.56,122.152.131.63,business,HK 
122.152.131.64,122.152.131.119,isp,JP 
122.152.131.120,122.152.131.127,business,HK 
122.152.131.128,122.152.131.159,isp,JP 
122.152.131.160,122.152.131.191,isp,HK 
122.152.131.192,122.152.131.207,business,HK 
122.152.131.208,122.152.131.223,isp,JP 
122.152.131.224,122.152.131.255,business,HK 
122.152.132.0,122.152.132.31,isp,JP 
122.152.132.32,122.152.132.63,business,AU 
122.152.132.64,122.152.132.95,isp,JP 
122.152.132.96,122.152.132.127,isp,AU 
122.152.132.128,122.152.132.255,isp,JP 
122.152.133.0,122.152.133.95,business,AU 
122.152.133.96,122.152.133.143,isp,JP 
122.152.133.144,122.152.133.159,business,AU 
122.152.133.160,122.152.133.175,business,NZ 
122.152.133.176,122.152.133.191,isp,AU 
122.152.133.192,122.152.133.207,business,AU 
122.152.133.208,122.152.133.223,isp,JP 
122.152.133.224,122.152.133.239,business,AU 
122.152.133.240,122.152.133.255,isp,JP 
122.152.134.0,122.152.134.31,isp,TW 
122.152.134.32,122.152.134.63,isp,PH 
122.152.134.64,122.152.134.127,isp,TW 
122.152.134.128,122.152.134.191,isp,JP 
122.152.134.192,122.152.134.255,isp,PH 
122.152.135.0,122.152.135.63,business,PH 
122.152.135.64,122.152.135.95,isp,JP 
122.152.135.96,122.152.135.127,isp,PH 
122.152.135.128,122.152.135.255,isp,JP 
122.152.136.0,122.152.136.127,business,SG 
122.152.136.128,122.152.136.159,isp,JP 
122.152.136.160,122.152.136.175,education,SG 
122.152.136.176,122.152.136.183,isp,MY 
122.152.136.184,122.152.137.15,isp,JP 
122.152.137.16,122.152.137.31,isp,MY 
122.152.137.32,122.152.137.63,isp,JP 
122.152.137.64,122.152.137.95,isp,MY 
122.152.137.96,122.152.137.111,business,MY 
122.152.137.112,122.152.137.119,business,SG 
122.152.137.120,122.152.137.255,isp,JP 
122.152.138.0,122.152.138.31,isp,SG 
122.152.138.32,122.152.138.63,isp,JP 
122.152.138.64,122.152.138.221,isp,HK 
122.152.138.222,122.152.138.223,isp,JP 
122.152.138.224,122.152.138.239,isp,HK 
122.152.138.240,122.152.138.247,business,HK 
122.152.138.248,122.152.139.63,isp,JP 
122.152.139.64,122.152.139.127,business,HK 
122.152.139.128,122.152.139.159,isp,HK 
122.152.139.160,122.152.139.255,business,HK 
122.152.140.0,122.152.140.47,business,AU 
122.152.140.48,122.152.140.63,isp,JP 
122.152.140.64,122.152.140.71,isp,AU 
122.152.140.72,122.152.140.79,business,AU 
122.152.140.80,122.152.140.127,isp,JP 
122.152.140.128,122.152.140.207,business,AU 
122.152.140.208,122.152.140.255,isp,AU 
122.152.141.0,122.152.141.15,isp,JP 
122.152.141.16,122.152.141.31,isp,SG 
122.152.141.32,122.152.141.47,business,SG 
122.152.141.48,122.152.141.63,isp,SG 
122.152.141.64,122.152.141.79,isp,JP 
122.152.141.80,122.152.141.95,isp,MY 
122.152.141.96,122.152.141.111,business,MY 
122.152.141.112,122.152.141.127,isp,JP 
122.152.141.128,122.152.142.15,business,SG 
122.152.142.16,122.152.142.31,isp,JP 
122.152.142.32,122.152.142.47,isp,SG 
122.152.142.48,122.152.142.63,isp,MY 
122.152.142.64,122.152.142.79,isp,SG 
122.152.142.80,122.152.142.95,isp,JP 
122.152.142.96,122.152.142.127,business,SG 
122.152.142.128,122.152.143.15,isp,JP 
122.152.143.16,122.152.143.31,isp,MY 
122.152.143.32,122.152.143.47,isp,SG 
122.152.143.48,122.152.143.63,isp,MY 
122.152.143.64,122.152.143.191,business,SG 
122.152.143.192,122.152.143.207,isp,JP 
122.152.143.208,122.152.143.223,business,SG 
122.152.143.224,122.152.143.255,business,MY 
122.152.144.0,122.152.144.63,isp,SG 
122.152.144.64,122.152.144.159,isp,JP 
122.152.144.160,122.152.144.175,business,MY 
122.152.144.176,122.152.144.191,isp,SG 
122.152.144.192,122.152.144.223,business,SG 
122.152.144.224,122.152.144.255,isp,SG 
122.152.145.0,122.152.145.31,isp,JP 
122.152.145.32,122.152.145.47,isp,MY 
122.152.145.48,122.152.145.63,business,MY 
122.152.145.64,122.152.145.79,business,SG 
122.152.145.80,122.152.145.87,business,MY 
122.152.145.88,122.152.145.95,isp,JP 
122.152.145.96,122.152.145.127,isp,SG 
122.152.145.128,122.152.145.143,isp,JP 
122.152.145.144,122.152.145.192,isp,SG 
122.152.145.193,122.152.145.207,isp,JP 
122.152.145.208,122.152.145.255,isp,SG 
122.152.146.0,122.152.146.63,isp,JP 
122.152.146.64,122.152.146.95,business,JP 
122.152.146.96,122.152.146.103,isp,JP 
122.152.146.104,122.152.146.111,business,JP 
122.152.146.112,122.152.146.127,isp,JP 
122.152.146.128,122.152.146.159,business,JP 
