122.129.0.0,122.129.63.255,business,VN, 
122.129.64.0,122.129.95.255,isp,PK,AS17911 
122.129.96.0,122.129.119.255,isp,ID,AS38896 
122.129.120.0,122.129.127.255,education,MY,AS24514 
122.129.128.0,122.129.130.255,isp,AU,AS38172 
122.129.131.0,122.129.159.255,business,AU,AS38172 
122.129.160.0,122.129.191.255,business,JP,AS7522 
122.129.192.0,122.129.194.127,business,ID, 
122.129.194.128,122.129.194.159,isp,ID, 
122.129.194.160,122.129.199.255,business,ID, 
122.129.200.0,122.129.207.255,isp,ID,AS38763 
122.129.208.0,122.129.215.255,isp,KR,AS18033 
122.129.216.0,122.129.223.255,isp,AU,AS56037 
122.129.224.0,122.129.235.255,isp,JP,AS2514 
122.129.236.0,122.129.236.255,business,JP,AS2514 
122.129.237.0,122.129.237.255,isp,JP,AS2514 
122.129.238.0,122.129.239.255,business,JP,AS2514 
122.129.240.0,122.129.255.255,isp,KR,AS9862 
