95.169.0.0,95.169.31.255,hosting,CA,AS25820 
95.169.32.0,95.169.59.255,isp,NO,AS29492 
95.169.60.0,95.169.63.255,business,NO,AS29492 
95.169.64.0,95.169.79.255,isp,IT,AS206539 
95.169.80.0,95.169.87.255,business,IT, 
95.169.88.0,95.169.95.255,isp,IT,AS206539 
95.169.96.0,95.169.127.255,isp,RU,AS49476 
95.169.128.0,95.169.159.255,business,RU,AS8359 
95.169.160.0,95.169.161.255,hosting,DE,AS31103 
95.169.162.0,95.169.162.255,hosting,DE,AS21859 
95.169.163.0,95.169.163.255,hosting,DE,AS215287 
95.169.164.0,95.169.164.255,hosting,US,AS215287 
95.169.165.0,95.169.165.255,hosting,DE,AS212238 
95.169.166.0,95.169.166.255,business,DE, 
95.169.167.0,95.169.167.255,isp,US,AS29802 
95.169.168.0,95.169.168.255,hosting,DE,AS142146 
95.169.169.0,95.169.169.255,hosting,DE,AS31103 
95.169.170.0,95.169.170.255,hosting,US,AS29014 
95.169.171.0,95.169.171.255,isp,US,AS29066 
95.169.172.0,95.169.172.255,education,DE,AS26737 
95.169.173.0,95.169.173.255,hosting,US,AS25198 
95.169.174.0,95.169.174.255,hosting,DE,AS214668 
95.169.175.0,95.169.175.255,education,DE,AS26737 
95.169.176.0,95.169.176.255,hosting,DE,AS61317 
95.169.177.0,95.169.177.255,hosting,DE,AS213250 
95.169.178.0,95.169.178.255,business,DE,AS29802 
95.169.179.0,95.169.179.255,isp,US,AS29066 
95.169.180.0,95.169.180.255,hosting,DE,AS262287 
95.169.181.0,95.169.183.143,hosting,DE,AS31103 
95.169.183.144,95.169.183.159,hosting,IN,AS31103 
95.169.183.160,95.169.185.255,hosting,DE,AS31103 
95.169.186.0,95.169.187.255,hosting,RU,AS31103 
95.169.188.0,95.169.189.255,hosting,DE,AS31103 
95.169.190.0,95.169.191.255,hosting,RU,AS31103 
95.169.192.0,95.169.192.255,hosting,NL,AS202448 
95.169.193.0,95.169.193.255,business,BG,AS198938 
95.169.194.0,95.169.194.255,isp,MK,AS44118 
95.169.195.0,95.169.195.255,hosting,BG,AS60974 
95.169.196.0,95.169.196.255,hosting,BG,AS201133 
95.169.197.0,95.169.198.255,isp,BG,AS49188 
95.169.199.0,95.169.200.255,isp,BG,AS39251 
95.169.201.0,95.169.201.255,hosting,DE,AS202448 
95.169.202.0,95.169.202.255,business,BG,AS44901 
95.169.203.0,95.169.203.255,business,MD,AS200019 
95.169.204.0,95.169.205.255,hosting,DE,AS202448 
95.169.206.0,95.169.207.255,business,BG,AS44100 
95.169.208.0,95.169.208.255,isp,BG,AS60441 
95.169.209.0,95.169.209.255,isp,BG,AS214378 
95.169.210.0,95.169.212.255,isp,BG,AS34909 
95.169.213.0,95.169.213.255,isp,BG,AS44814 
95.169.214.0,95.169.217.255,isp,BG,AS61996 
95.169.218.0,95.169.219.255,isp,BG,AS44814 
95.169.220.0,95.169.220.255,isp,BG,AS61996 
95.169.221.0,95.169.221.255,business,BG,AS44100 
95.169.222.0,95.169.222.255,isp,BG,AS44814 
95.169.223.0,95.169.223.255,isp,BG,AS61996 
95.169.224.0,95.169.239.255,isp,ES, 
95.169.240.0,95.169.255.255,isp,ES,AS15704 
