95.166.0.0,95.166.7.255,isp,GB 
95.166.8.0,95.166.15.255,business,GB 
95.166.16.0,95.166.63.255,isp,GB 
95.166.64.0,95.166.128.55,isp,DK 
95.166.128.56,95.166.128.63,business,DK 
95.166.128.64,95.166.134.31,isp,DK 
95.166.134.32,95.166.134.63,business,DK 
95.166.134.64,95.166.140.159,isp,DK 
95.166.140.160,95.166.140.175,business,DK 
95.166.140.176,95.166.140.191,isp,DK 
95.166.140.192,95.166.140.207,business,DK 
95.166.140.208,95.166.142.63,isp,DK 
95.166.142.64,95.166.142.95,business,DK 
95.166.142.96,95.166.148.135,isp,DK 
95.166.148.136,95.166.148.143,business,DK 
95.166.148.144,95.166.152.127,isp,DK 
95.166.152.128,95.166.152.143,business,DK 
95.166.152.144,95.166.158.151,isp,DK 
95.166.158.152,95.166.158.159,business,DK 
95.166.158.160,95.166.159.143,isp,DK 
95.166.159.144,95.166.159.151,business,DK 
95.166.159.152,95.166.160.15,isp,DK 
95.166.160.16,95.166.160.23,business,DK 
95.166.160.24,95.166.160.47,isp,DK 
95.166.160.48,95.166.160.55,business,DK 
95.166.160.56,95.166.161.167,isp,DK 
95.166.161.168,95.166.161.175,business,DK 
95.166.161.176,95.166.165.255,isp,DK 
95.166.166.0,95.166.166.255,business,DK 
95.166.167.0,95.166.199.199,isp,DK 
95.166.199.200,95.166.199.207,business,DK 
95.166.199.208,95.166.232.151,isp,DK 
95.166.232.152,95.166.232.159,business,DK 
95.166.232.160,95.166.234.159,isp,DK 
95.166.234.160,95.166.234.191,business,DK 
95.166.234.192,95.166.238.55,isp,DK 
95.166.238.56,95.166.238.63,business,DK 
95.166.238.64,95.166.238.95,isp,DK 
95.166.238.96,95.166.238.111,business,DK 
95.166.238.112,95.166.238.255,isp,DK 
95.166.239.0,95.166.239.7,business,DK 
95.166.239.8,95.166.250.127,isp,DK 
95.166.250.128,95.166.250.159,business,DK 
95.166.250.160,95.166.255.23,isp,DK 
95.166.255.24,95.166.255.31,business,DK 
95.166.255.32,95.166.255.255,isp,DK 
