95.100.0.0,95.100.15.255,business,IN,AS55836 
95.100.16.0,95.100.31.255,hosting,US,AS16625 
95.100.32.0,95.100.47.255,hosting,DE,AS20940 
95.100.48.0,95.100.79.255,hosting,US,AS16625 
95.100.80.0,95.100.111.255,hosting,NL,AS20940 
95.100.112.0,95.100.127.255,hosting,US,AS16625 
95.100.128.0,95.100.163.255,hosting,NL,AS20940 
95.100.164.0,95.100.167.255,hosting,US,AS16625 
95.100.168.0,95.100.168.255,hosting,NL,AS21342 
95.100.169.0,95.100.207.255,hosting,NL,AS20940 
95.100.208.0,95.100.223.255,hosting,DE,AS20940 
95.100.224.0,95.100.239.255,hosting,US,AS16625 
95.100.240.0,95.100.243.255,hosting,NL,AS20940 
95.100.244.0,95.100.247.255,hosting,US,AS16625 
95.100.248.0,95.100.249.255,hosting,NL,AS20940 
95.100.250.0,95.100.251.255,hosting,IT,AS16625 
95.100.252.0,95.100.252.255,hosting,NL,AS20940 
95.100.253.0,95.100.253.255,hosting,US,AS32787 
95.100.254.0,95.100.255.255,hosting,NL,AS20940 
