95.152.0.0,95.152.63.255,isp,RU 
95.152.64.0,95.152.127.255,isp,CH 
95.152.128.0,95.152.175.255,business,NL 
95.152.176.0,95.152.191.255,isp,NL 
95.152.192.0,95.152.192.55,business,GB 
95.152.192.56,95.152.192.63,isp,GB 
95.152.192.64,95.152.192.99,business,GB 
95.152.192.100,95.152.192.103,isp,GB 
95.152.192.104,95.152.194.31,business,GB 
95.152.194.32,95.152.194.39,isp,GB 
95.152.194.40,95.152.194.43,business,GB 
95.152.194.44,95.152.194.51,isp,GB 
95.152.194.52,95.152.194.71,business,GB 
95.152.194.72,95.152.194.79,isp,GB 
95.152.194.80,95.152.194.139,business,GB 
95.152.194.140,95.152.194.147,isp,GB 
95.152.194.148,95.152.194.255,business,GB 
95.152.195.0,95.152.195.7,isp,GB 
95.152.195.8,95.152.195.55,business,GB 
95.152.195.56,95.152.195.59,isp,GB 
95.152.195.60,95.152.195.71,business,GB 
95.152.195.72,95.152.195.75,education,GB 
95.152.195.76,95.152.196.31,business,GB 
95.152.196.32,95.152.196.55,isp,GB 
95.152.196.56,95.152.196.95,business,GB 
95.152.196.96,95.152.196.103,isp,GB 
95.152.196.104,95.152.196.119,business,GB 
95.152.196.120,95.152.196.127,isp,GB 
95.152.196.128,95.152.196.143,education,GB 
95.152.196.144,95.152.197.55,business,GB 
95.152.197.56,95.152.197.71,isp,GB 
95.152.197.72,95.152.197.95,business,GB 
95.152.197.96,95.152.197.111,isp,GB 
95.152.197.112,95.152.197.199,business,GB 
95.152.197.200,95.152.197.207,isp,GB 
95.152.197.208,95.152.197.227,business,GB 
95.152.197.228,95.152.197.231,isp,GB 
95.152.197.232,95.152.198.87,business,GB 
95.152.198.88,95.152.198.111,isp,GB 
95.152.198.112,95.152.198.139,business,GB 
95.152.198.140,95.152.198.143,isp,GB 
95.152.198.144,95.152.198.243,business,GB 
95.152.198.244,95.152.198.247,isp,GB 
95.152.198.248,95.152.199.7,business,GB 
95.152.199.8,95.152.199.15,isp,GB 
95.152.199.16,95.152.199.39,business,GB 
95.152.199.40,95.152.199.55,isp,GB 
95.152.199.56,95.152.199.127,business,GB 
95.152.199.128,95.152.199.131,isp,GB 
95.152.199.132,95.152.199.143,business,GB 
95.152.199.144,95.152.199.159,isp,GB 
95.152.199.160,95.152.199.175,business,GB 
95.152.199.176,95.152.199.191,isp,GB 
95.152.199.192,95.152.199.247,business,GB 
95.152.199.248,95.152.199.255,isp,GB 
95.152.200.0,95.152.200.7,business,GB 
95.152.200.8,95.152.200.15,isp,GB 
95.152.200.16,95.152.200.23,business,GB 
95.152.200.24,95.152.200.31,isp,GB 
95.152.200.32,95.152.200.47,business,GB 
95.152.200.48,95.152.200.55,isp,GB 
95.152.200.56,95.152.200.63,business,GB 
95.152.200.64,95.152.200.79,isp,GB 
95.152.200.80,95.152.200.95,business,GB 
95.152.200.96,95.152.200.119,isp,GB 
95.152.200.120,95.152.200.127,business,GB 
95.152.200.128,95.152.200.135,education,GB 
95.152.200.136,95.152.200.143,isp,GB 
95.152.200.144,95.152.200.215,business,GB 
95.152.200.216,95.152.200.219,isp,GB 
95.152.200.220,95.152.200.255,business,GB 
95.152.201.0,95.152.201.7,isp,GB 
95.152.201.8,95.152.201.127,business,GB 
95.152.201.128,95.152.201.143,isp,GB 
95.152.201.144,95.152.201.183,business,GB 
95.152.201.184,95.152.201.187,isp,GB 
95.152.201.188,95.152.201.191,business,GB 
95.152.201.192,95.152.201.215,isp,GB 
95.152.201.216,95.152.201.247,business,GB 
95.152.201.248,95.152.202.7,isp,GB 
95.152.202.8,95.152.202.15,business,GB 
95.152.202.16,95.152.202.23,isp,GB 
95.152.202.24,95.152.202.39,business,GB 
95.152.202.40,95.152.202.47,isp,GB 
95.152.202.48,95.152.202.55,business,GB 
95.152.202.56,95.152.202.59,isp,GB 
95.152.202.60,95.152.202.95,business,GB 
95.152.202.96,95.152.202.103,isp,GB 
95.152.202.104,95.152.202.191,business,GB 
95.152.202.192,95.152.202.199,isp,GB 
95.152.202.200,95.152.203.43,business,GB 
95.152.203.44,95.152.203.51,isp,GB 
95.152.203.52,95.152.203.111,business,GB 
95.152.203.112,95.152.203.119,isp,GB 
95.152.203.120,95.152.203.223,business,GB 
95.152.203.224,95.152.203.231,isp,GB 
95.152.203.232,95.152.203.247,business,GB 
95.152.203.248,95.152.203.251,isp,GB 
95.152.203.252,95.152.204.23,business,GB 
95.152.204.24,95.152.204.31,isp,GB 
95.152.204.32,95.152.204.47,business,GB 
95.152.204.48,95.152.204.63,isp,GB 
95.152.204.64,95.152.204.103,business,GB 
95.152.204.104,95.152.204.111,isp,GB 
95.152.204.112,95.152.204.119,business,GB 
95.152.204.120,95.152.204.127,isp,GB 
95.152.204.128,95.152.204.167,business,GB 
95.152.204.168,95.152.204.175,isp,GB 
95.152.204.176,95.152.204.191,business,GB 
95.152.204.192,95.152.204.255,isp,GB 
95.152.205.0,95.152.205.7,business,GB 
95.152.205.8,95.152.205.11,isp,GB 
95.152.205.12,95.152.205.31,business,GB 
95.152.205.32,95.152.205.39,isp,GB 
95.152.205.40,95.152.205.47,business,GB 
95.152.205.48,95.152.205.55,isp,GB 
95.152.205.56,95.152.205.87,business,GB 
95.152.205.88,95.152.205.91,isp,GB 
95.152.205.92,95.152.205.95,business,GB 
95.152.205.96,95.152.205.99,isp,GB 
95.152.205.100,95.152.205.111,business,GB 
95.152.205.112,95.152.205.127,isp,GB 
95.152.205.128,95.152.205.147,business,GB 
95.152.205.148,95.152.205.159,isp,GB 
95.152.205.160,95.152.205.215,business,GB 
95.152.205.216,95.152.205.219,isp,GB 
95.152.205.220,95.152.205.255,business,GB 
95.152.206.0,95.152.206.7,isp,GB 
95.152.206.8,95.152.206.15,business,GB 
95.152.206.16,95.152.206.19,isp,GB 
95.152.206.20,95.152.206.47,business,GB 
95.152.206.48,95.152.206.63,isp,GB 
95.152.206.64,95.152.206.103,business,GB 
95.152.206.104,95.152.206.111,isp,GB 
95.152.206.112,95.152.206.115,business,GB 
95.152.206.116,95.152.206.119,isp,GB 
95.152.206.120,95.152.206.211,business,GB 
95.152.206.212,95.152.206.215,isp,GB 
95.152.206.216,95.152.207.71,business,GB 
95.152.207.72,95.152.208.0,isp,GB 
95.152.208.1,95.152.215.255,business,GB 
95.152.216.0,95.152.216.0,isp,GB 
95.152.216.1,95.152.220.254,business,GB 
95.152.220.255,95.152.220.255,isp,GB 
95.152.221.0,95.152.221.254,business,GB 
95.152.221.255,95.152.223.3,isp,GB 
95.152.223.4,95.152.223.7,business,GB 
95.152.223.8,95.152.223.11,isp,GB 
95.152.223.12,95.152.223.19,business,GB 
95.152.223.20,95.152.223.27,isp,GB 
95.152.223.28,95.152.223.35,business,GB 
95.152.223.36,95.152.223.39,isp,GB 
95.152.223.40,95.152.223.47,business,GB 
95.152.223.48,95.152.223.51,isp,GB 
95.152.223.52,95.152.223.63,business,GB 
95.152.223.64,95.152.223.67,isp,GB 
95.152.223.68,95.152.223.119,business,GB 
95.152.223.120,95.152.223.127,isp,GB 
95.152.223.128,95.152.223.135,business,GB 
95.152.223.136,95.152.223.139,isp,GB 
95.152.223.140,95.152.223.155,business,GB 
95.152.223.156,95.152.223.171,isp,GB 
95.152.223.172,95.152.223.183,business,GB 
95.152.223.184,95.152.223.187,isp,GB 
95.152.223.188,95.152.225.191,business,GB 
95.152.225.192,95.152.225.255,isp,GB 
95.152.226.0,95.152.226.63,business,GB 
95.152.226.64,95.152.226.255,isp,GB 
95.152.227.0,95.152.227.255,business,GB 
95.152.228.0,95.152.228.3,isp,GB 
95.152.228.4,95.152.228.7,business,GB 
95.152.228.8,95.152.228.35,isp,GB 
95.152.228.36,95.152.228.47,business,GB 
95.152.228.48,95.152.228.59,isp,GB 
95.152.228.60,95.152.228.67,education,GB 
95.152.228.68,95.152.228.79,business,GB 
95.152.228.80,95.152.228.83,isp,GB 
95.152.228.84,95.152.228.87,business,GB 
95.152.228.88,95.152.228.91,isp,GB 
95.152.228.92,95.152.228.111,business,GB 
95.152.228.112,95.152.228.119,isp,GB 
95.152.228.120,95.152.228.131,business,GB 
95.152.228.132,95.152.228.171,isp,GB 
95.152.228.172,95.152.228.175,business,GB 
95.152.228.176,95.152.229.255,isp,GB 
95.152.230.0,95.152.230.254,business,GB 
95.152.230.255,95.152.230.255,isp,GB 
95.152.231.0,95.152.231.63,business,GB 
95.152.231.64,95.152.231.71,isp,GB 
95.152.231.72,95.152.231.87,business,GB 
95.152.231.88,95.152.231.103,isp,GB 
95.152.231.104,95.152.231.175,business,GB 
95.152.231.176,95.152.231.231,isp,GB 
95.152.231.232,95.152.231.239,business,GB 
