95.175.0.0,95.175.31.255,isp,PL,AS33951 
95.175.32.0,95.175.47.255,business,IL,AS21350 
95.175.48.0,95.175.63.255,hosting,IL,AS21350 
95.175.64.0,95.175.64.255,hosting,JP,AS203020 
95.175.65.0,95.175.79.255,business,KW,AS203020 
95.175.80.0,95.175.95.255,business,KW,AS207990 
95.175.96.0,95.175.96.87,hosting,FI,AS49282 
95.175.96.88,95.175.96.95,business,FI,AS49282 
95.175.96.96,95.175.96.111,hosting,FI,AS49282 
95.175.96.112,95.175.96.159,business,FI,AS49282 
95.175.96.160,95.175.96.255,hosting,FI,AS49282 
95.175.97.0,95.175.97.15,business,FI,AS49282 
95.175.97.16,95.175.97.71,hosting,FI,AS49282 
95.175.97.72,95.175.97.127,business,FI,AS49282 
95.175.97.128,95.175.97.159,hosting,FI,AS49282 
95.175.97.160,95.175.97.175,business,FI,AS49282 
95.175.97.176,95.175.99.255,hosting,FI,AS49282 
95.175.100.0,95.175.100.63,business,FI,AS49282 
95.175.100.64,95.175.101.191,hosting,FI,AS49282 
95.175.101.192,95.175.101.207,business,FI,AS49282 
95.175.101.208,95.175.103.55,hosting,FI,AS49282 
95.175.103.56,95.175.103.59,business,FI,AS49282 
95.175.103.60,95.175.103.63,hosting,FI,AS49282 
95.175.103.64,95.175.103.127,business,FI,AS49282 
95.175.103.128,95.175.103.255,hosting,FI,AS49282 
95.175.104.0,95.175.104.255,business,FI,AS49282 
95.175.105.0,95.175.105.255,hosting,FI,AS49282 
95.175.106.0,95.175.106.255,business,FI,AS49282 
95.175.107.0,95.175.107.31,hosting,FI,AS49282 
95.175.107.32,95.175.107.63,business,FI,AS49282 
95.175.107.64,95.175.107.199,hosting,FI,AS49282 
95.175.107.200,95.175.107.207,business,FI,AS49282 
95.175.107.208,95.175.107.255,hosting,FI,AS49282 
95.175.108.0,95.175.108.31,business,FI,AS49282 
95.175.108.32,95.175.109.15,hosting,FI,AS49282 
95.175.109.16,95.175.109.23,business,FI,AS49282 
95.175.109.24,95.175.109.55,hosting,FI,AS49282 
95.175.109.56,95.175.109.127,business,FI,AS49282 
95.175.109.128,95.175.110.63,hosting,FI,AS49282 
95.175.110.64,95.175.110.127,business,FI,AS49282 
