95.161.0.0,95.161.63.255,isp,RU 
95.161.64.0,95.161.79.255,hosting,NL 
95.161.80.0,95.161.80.255,business,IN 
95.161.81.0,95.161.83.255,business,RU 
95.161.84.0,95.161.87.255,business,NL 
95.161.88.0,95.161.94.255,business,RU 
95.161.95.0,95.161.95.255,isp,RU 
95.161.96.0,95.161.99.255,business,RU 
95.161.100.0,95.161.101.255,isp,RU 
95.161.102.0,95.161.124.255,business,RU 
95.161.125.0,95.161.125.255,isp,RU 
95.161.126.0,95.161.126.255,business,RU 
95.161.127.0,95.161.127.255,isp,RU 
95.161.128.0,95.161.139.255,isp,NL 
95.161.140.0,95.161.143.255,hosting,RU 
95.161.144.0,95.161.144.3,business,RU 
95.161.144.4,95.161.144.71,isp,RU 
95.161.144.72,95.161.144.75,business,RU 
95.161.144.76,95.161.144.83,isp,RU 
95.161.144.84,95.161.144.87,business,RU 
95.161.144.88,95.161.144.159,isp,RU 
95.161.144.160,95.161.144.167,business,RU 
95.161.144.168,95.161.145.15,isp,RU 
95.161.145.16,95.161.145.19,business,RU 
95.161.145.20,95.161.145.31,isp,RU 
95.161.145.32,95.161.145.35,business,RU 
95.161.145.36,95.161.145.39,isp,RU 
95.161.145.40,95.161.145.43,business,RU 
95.161.145.44,95.161.145.99,isp,RU 
95.161.145.100,95.161.145.103,business,RU 
95.161.145.104,95.161.145.111,isp,RU 
95.161.145.112,95.161.145.115,business,RU 
95.161.145.116,95.161.145.191,isp,RU 
95.161.145.192,95.161.145.195,business,RU 
95.161.145.196,95.161.145.199,isp,RU 
95.161.145.200,95.161.145.215,business,RU 
95.161.145.216,95.161.145.223,isp,RU 
95.161.145.224,95.161.145.227,business,RU 
95.161.145.228,95.161.145.255,isp,RU 
95.161.146.0,95.161.146.3,business,RU 
95.161.146.4,95.161.146.83,isp,RU 
95.161.146.84,95.161.146.87,business,RU 
95.161.146.88,95.161.146.107,isp,RU 
95.161.146.108,95.161.146.111,business,RU 
95.161.146.112,95.161.146.123,isp,RU 
95.161.146.124,95.161.146.127,business,RU 
95.161.146.128,95.161.146.191,isp,RU 
95.161.146.192,95.161.146.199,business,RU 
