95.157.0.0,95.157.63.255,isp,DE,AS35244 
95.157.64.0,95.157.72.255,hosting,IT,AS20836 
95.157.73.0,95.157.73.255,education,IT,AS20836 
95.157.74.0,95.157.95.255,hosting,IT,AS20836 
95.157.96.0,95.157.96.255,business,NL,AS34971 
95.157.97.0,95.157.127.255,hosting,IT,AS20836 
95.157.128.0,95.157.180.255,isp,FR,AS49112 
95.157.181.0,95.157.183.255,business,FR,AS49112 
95.157.184.0,95.157.191.255,isp,FR,AS49112 
95.157.192.0,95.157.207.255,isp,FR,AS39005 
95.157.208.0,95.157.211.255,business,FR,AS39005 
95.157.212.0,95.157.215.255,isp,FR,AS39005 
95.157.216.0,95.157.249.255,business,FR,AS39005 
95.157.250.0,95.157.255.255,isp,FR,AS39005 
