95.158.0.0,95.158.63.255,isp,UA,AS35362 
95.158.64.0,95.158.95.255,isp,PL,AS6830 
95.158.96.0,95.158.100.255,business,PL,AS6830 
95.158.101.0,95.158.101.255,isp,PL,AS6830 
95.158.102.0,95.158.104.255,business,PL,AS6830 
95.158.105.0,95.158.127.255,isp,PL,AS6830 
95.158.128.0,95.158.133.255,business,BG,AS41313 
95.158.134.0,95.158.135.255,hosting,BG,AS41313 
95.158.136.0,95.158.141.255,business,BG,AS62386 
95.158.142.0,95.158.143.255,business,BG,AS197168 
95.158.144.0,95.158.144.255,business,BG,AS35448 
95.158.145.0,95.158.145.255,isp,BG,AS29582 
95.158.146.0,95.158.146.255,business,BG,AS41313 
95.158.147.0,95.158.147.255,isp,BG,AS51614 
95.158.148.0,95.158.148.255,business,BG,AS197897 
95.158.149.0,95.158.150.255,business,BG,AS41313 
95.158.151.0,95.158.151.255,business,BG,AS197897 
95.158.152.0,95.158.152.255,hosting,BG,AS41313 
95.158.153.0,95.158.153.255,isp,BG,AS58079 
95.158.154.0,95.158.155.255,hosting,BG,AS41313 
95.158.156.0,95.158.157.255,business,BG,AS41313 
95.158.158.0,95.158.159.255,isp,BG,AS8967 
95.158.160.0,95.158.163.255,isp,BG,AS44247 
95.158.164.0,95.158.167.255,business,BG,AS41313 
95.158.168.0,95.158.168.255,isp,BG,AS25206 
95.158.169.0,95.158.169.255,business,BG,AS61975 
95.158.170.0,95.158.170.255,business,BG,AS41313 
95.158.171.0,95.158.171.255,business,MK,AS41313 
95.158.172.0,95.158.175.255,business,BG,AS41313 
95.158.176.0,95.158.183.255,isp,BG,AS44247 
95.158.184.0,95.158.191.255,business,BG,AS41313 
95.158.192.0,95.158.255.255,isp,RU,AS12389 
