58.213.92.88,58.213.92.95,education,CN 
58.213.92.96,58.213.92.119,business,CN 
58.213.92.120,58.213.112.31,isp,CN 
58.213.112.32,58.213.112.47,education,CN 
58.213.112.48,58.213.112.51,business,CN 
58.213.112.52,58.213.112.111,isp,CN 
58.213.112.112,58.213.112.127,business,CN 
58.213.112.128,58.213.112.167,isp,CN 
58.213.112.168,58.213.112.207,business,CN 
58.213.112.208,58.213.112.239,isp,CN 
58.213.112.240,58.213.112.255,business,CN 
58.213.113.0,58.213.113.95,isp,CN 
58.213.113.96,58.213.113.127,business,CN 
58.213.113.128,58.213.113.143,isp,CN 
58.213.113.144,58.213.113.159,business,CN 
58.213.113.160,58.213.113.171,isp,CN 
58.213.113.172,58.213.113.179,business,CN 
58.213.113.180,58.213.113.191,isp,CN 
58.213.113.192,58.213.113.231,business,CN 
58.213.113.232,58.213.113.239,education,CN 
58.213.113.240,58.213.114.159,isp,CN 
58.213.114.160,58.213.114.191,business,CN 
58.213.114.192,58.213.114.239,isp,CN 
58.213.114.240,58.213.114.243,business,CN 
58.213.114.244,58.213.114.247,isp,CN 
58.213.114.248,58.213.114.255,education,CN 
58.213.115.0,58.213.116.127,isp,CN 
58.213.116.128,58.213.116.255,education,CN 
58.213.117.0,58.213.117.31,business,CN 
58.213.117.32,58.213.117.63,isp,CN 
58.213.117.64,58.213.117.95,business,CN 
58.213.117.96,58.213.117.103,isp,CN 
58.213.117.104,58.213.117.127,business,CN 
58.213.117.128,58.213.117.199,isp,CN 
58.213.117.200,58.213.117.207,business,CN 
58.213.117.208,58.213.120.31,isp,CN 
58.213.120.32,58.213.120.35,business,CN 
58.213.120.36,58.213.120.63,isp,CN 
58.213.120.64,58.213.120.67,business,CN 
58.213.120.68,58.213.120.143,isp,CN 
58.213.120.144,58.213.120.151,business,CN 
58.213.120.152,58.213.123.63,isp,CN 
58.213.123.64,58.213.123.95,business,CN 
58.213.123.96,58.213.124.7,isp,CN 
58.213.124.8,58.213.124.15,business,CN 
58.213.124.16,58.213.124.23,isp,CN 
58.213.124.24,58.213.124.27,business,CN 
58.213.124.28,58.213.124.39,isp,CN 
58.213.124.40,58.213.124.59,business,CN 
58.213.124.60,58.213.124.63,isp,CN 
58.213.124.64,58.213.124.79,business,CN 
58.213.124.80,58.213.124.99,isp,CN 
58.213.124.100,58.213.124.111,business,CN 
58.213.124.112,58.213.124.143,isp,CN 
58.213.124.144,58.213.124.171,business,CN 
58.213.124.172,58.213.124.175,isp,CN 
58.213.124.176,58.213.124.207,business,CN 
58.213.124.208,58.213.124.211,isp,CN 
58.213.124.212,58.213.124.215,business,CN 
58.213.124.216,58.213.126.127,isp,CN 
58.213.126.128,58.213.126.135,business,CN 
58.213.126.136,58.213.126.151,isp,CN 
58.213.126.152,58.213.126.199,business,CN 
58.213.126.200,58.213.126.215,isp,CN 
58.213.126.216,58.213.126.223,business,CN 
58.213.126.224,58.213.126.231,isp,CN 
58.213.126.232,58.213.126.247,business,CN 
58.213.126.248,58.213.126.255,isp,CN 
58.213.127.0,58.213.127.31,business,CN 
58.213.127.32,58.213.127.47,education,CN 
58.213.127.48,58.213.127.63,business,CN 
58.213.127.64,58.213.127.79,isp,CN 
58.213.127.80,58.213.127.87,business,CN 
58.213.127.88,58.213.127.95,isp,CN 
58.213.127.96,58.213.127.127,business,CN 
58.213.127.128,58.213.127.143,education,CN 
58.213.127.144,58.213.127.151,isp,CN 
58.213.127.152,58.213.127.159,education,CN 
58.213.127.160,58.213.127.175,isp,CN 
58.213.127.176,58.213.127.179,education,CN 
58.213.127.180,58.213.127.191,isp,CN 
58.213.127.192,58.213.127.207,business,CN 
58.213.127.208,58.213.128.51,isp,CN 
58.213.128.52,58.213.128.55,business,CN 
58.213.128.56,58.213.128.127,isp,CN 
58.213.128.128,58.213.128.135,business,CN 
58.213.128.136,58.213.128.151,isp,CN 
58.213.128.152,58.213.128.159,education,CN 
58.213.128.160,58.213.128.207,isp,CN 
58.213.128.208,58.213.128.223,business,CN 
58.213.128.224,58.213.128.247,isp,CN 
58.213.128.248,58.213.128.251,business,CN 
58.213.128.252,58.213.129.71,isp,CN 
58.213.129.72,58.213.129.83,business,CN 
58.213.129.84,58.213.130.63,isp,CN 
58.213.130.64,58.213.130.79,business,CN 
58.213.130.80,58.213.130.103,isp,CN 
58.213.130.104,58.213.130.111,business,CN 
58.213.130.112,58.213.131.23,isp,CN 
58.213.131.24,58.213.131.27,business,CN 
58.213.131.28,58.213.132.39,isp,CN 
58.213.132.40,58.213.132.63,business,CN 
58.213.132.64,58.213.132.87,isp,CN 
58.213.132.88,58.213.132.95,business,CN 
58.213.132.96,58.213.132.103,isp,CN 
58.213.132.104,58.213.132.111,business,CN 
58.213.132.112,58.213.133.15,isp,CN 
58.213.133.16,58.213.133.23,education,CN 
58.213.133.24,58.213.133.31,isp,CN 
58.213.133.32,58.213.133.35,business,CN 
58.213.133.36,58.213.133.71,isp,CN 
58.213.133.72,58.213.133.79,education,CN 
58.213.133.80,58.213.133.95,isp,CN 
58.213.133.96,58.213.133.103,business,CN 
58.213.133.104,58.213.133.127,isp,CN 
58.213.133.128,58.213.133.135,business,CN 
58.213.133.136,58.213.133.143,isp,CN 
58.213.133.144,58.213.133.151,business,CN 
58.213.133.152,58.213.133.155,isp,CN 
58.213.133.156,58.213.133.171,business,CN 
58.213.133.172,58.213.133.175,isp,CN 
58.213.133.176,58.213.133.183,education,CN 
58.213.133.184,58.213.133.191,business,CN 
58.213.133.192,58.213.133.207,isp,CN 
58.213.133.208,58.213.133.215,business,CN 
58.213.133.216,58.213.133.231,isp,CN 
58.213.133.232,58.213.133.239,business,CN 
58.213.133.240,58.213.133.247,isp,CN 
58.213.133.248,58.213.133.255,business,CN 
58.213.134.0,58.213.134.95,isp,CN 
58.213.134.96,58.213.134.127,business,CN 
58.213.134.128,58.213.134.151,isp,CN 
58.213.134.152,58.213.134.159,business,CN 
58.213.134.160,58.213.134.175,isp,CN 
58.213.134.176,58.213.134.183,business,CN 
58.213.134.184,58.213.134.191,isp,CN 
58.213.134.192,58.213.134.207,business,CN 
58.213.134.208,58.213.135.11,isp,CN 
58.213.135.12,58.213.135.15,business,CN 
58.213.135.16,58.213.135.63,isp,CN 
58.213.135.64,58.213.135.71,business,CN 
58.213.135.72,58.213.135.95,isp,CN 
58.213.135.96,58.213.135.103,business,CN 
58.213.135.104,58.213.137.63,isp,CN 
58.213.137.64,58.213.137.79,education,CN 
58.213.137.80,58.213.137.255,isp,CN 
58.213.138.0,58.213.138.15,education,CN 
58.213.138.16,58.213.138.23,business,CN 
58.213.138.24,58.213.138.31,isp,CN 
58.213.138.32,58.213.138.39,business,CN 
58.213.138.40,58.213.138.47,isp,CN 
58.213.138.48,58.213.138.55,business,CN 
58.213.138.56,58.213.138.63,isp,CN 
58.213.138.64,58.213.138.71,business,CN 
58.213.138.72,58.213.138.79,education,CN 
58.213.138.80,58.213.138.95,business,CN 
58.213.138.96,58.213.138.127,isp,CN 
58.213.138.128,58.213.138.159,business,CN 
58.213.138.160,58.213.138.191,education,CN 
58.213.138.192,58.213.138.199,isp,CN 
58.213.138.200,58.213.138.207,business,CN 
58.213.138.208,58.213.139.255,isp,CN 
58.213.140.0,58.213.140.3,business,CN 
58.213.140.4,58.213.140.255,isp,CN 
58.213.141.0,58.213.141.7,business,CN 
58.213.141.8,58.213.141.23,isp,CN 
58.213.141.24,58.213.141.31,business,CN 
58.213.141.32,58.213.142.191,isp,CN 
58.213.142.192,58.213.142.207,business,CN 
58.213.142.208,58.213.143.255,isp,CN 
58.213.144.0,58.213.144.3,education,CN 
58.213.144.4,58.213.144.19,isp,CN 
58.213.144.20,58.213.144.27,business,CN 
58.213.144.28,58.213.144.31,isp,CN 
58.213.144.32,58.213.144.35,business,CN 
58.213.144.36,58.213.144.71,isp,CN 
58.213.144.72,58.213.144.79,business,CN 
58.213.144.80,58.213.144.83,isp,CN 
58.213.144.84,58.213.144.87,business,CN 
58.213.144.88,58.213.144.91,isp,CN 
58.213.144.92,58.213.144.95,business,CN 
58.213.144.96,58.213.144.107,isp,CN 
58.213.144.108,58.213.144.111,business,CN 
58.213.144.112,58.213.144.115,isp,CN 
58.213.144.116,58.213.144.119,education,CN 
58.213.144.120,58.213.144.123,business,CN 
58.213.144.124,58.213.144.127,education,CN 
58.213.144.128,58.213.144.131,business,CN 
58.213.144.132,58.213.144.135,isp,CN 
58.213.144.136,58.213.144.147,education,CN 
58.213.144.148,58.213.144.159,isp,CN 
58.213.144.160,58.213.144.163,business,CN 
58.213.144.164,58.213.144.171,isp,CN 
58.213.144.172,58.213.144.175,business,CN 
58.213.144.176,58.213.144.187,isp,CN 
58.213.144.188,58.213.144.191,business,CN 
58.213.144.192,58.213.144.195,isp,CN 
58.213.144.196,58.213.144.199,business,CN 
58.213.144.200,58.213.144.203,isp,CN 
58.213.144.204,58.213.144.207,business,CN 
58.213.144.208,58.213.144.211,isp,CN 
