58.243.20.0,58.243.23.255,business,CN 
58.243.24.0,58.243.31.255,isp,CN 
58.243.32.0,58.243.47.255,business,CN 
58.243.48.0,58.243.99.255,isp,CN 
58.243.100.0,58.243.111.255,business,CN 
58.243.112.0,58.243.112.1,isp,CN 
58.243.112.2,58.243.113.254,business,CN 
58.243.113.255,58.243.114.1,isp,CN 
58.243.114.2,58.243.114.2,business,CN 
58.243.114.3,58.243.114.5,isp,CN 
58.243.114.6,58.243.114.6,business,CN 
58.243.114.7,58.243.114.9,isp,CN 
58.243.114.10,58.243.114.10,business,CN 
58.243.114.11,58.243.114.13,isp,CN 
58.243.114.14,58.243.114.14,business,CN 
58.243.114.15,58.243.114.17,isp,CN 
58.243.114.18,58.243.114.30,business,CN 
58.243.114.31,58.243.114.33,isp,CN 
58.243.114.34,58.243.114.62,business,CN 
58.243.114.63,58.243.114.65,isp,CN 
58.243.114.66,58.243.114.126,business,CN 
58.243.114.127,58.243.114.129,isp,CN 
58.243.114.130,58.243.114.190,business,CN 
58.243.114.191,58.243.114.193,isp,CN 
58.243.114.194,58.243.114.198,business,CN 
58.243.114.199,58.243.114.201,isp,CN 
58.243.114.202,58.243.114.206,business,CN 
58.243.114.207,58.243.114.209,isp,CN 
58.243.114.210,58.243.114.222,business,CN 
58.243.114.223,58.243.114.225,isp,CN 
58.243.114.226,58.243.114.254,business,CN 
58.243.114.255,58.243.115.1,isp,CN 
58.243.115.2,58.243.115.14,business,CN 
58.243.115.15,58.243.115.17,isp,CN 
58.243.115.18,58.243.115.18,business,CN 
58.243.115.19,58.243.115.21,isp,CN 
58.243.115.22,58.243.115.22,business,CN 
58.243.115.23,58.243.115.25,isp,CN 
58.243.115.26,58.243.115.26,business,CN 
58.243.115.27,58.243.115.33,isp,CN 
58.243.115.34,58.243.115.62,business,CN 
58.243.115.63,58.243.115.65,isp,CN 
58.243.115.66,58.243.115.70,business,CN 
58.243.115.71,58.243.115.73,isp,CN 
58.243.115.74,58.243.115.78,business,CN 
58.243.115.79,58.243.115.81,isp,CN 
58.243.115.82,58.243.115.94,business,CN 
58.243.115.95,58.243.115.97,isp,CN 
58.243.115.98,58.243.115.98,business,CN 
58.243.115.99,58.243.115.101,isp,CN 
58.243.115.102,58.243.115.102,business,CN 
58.243.115.103,58.243.115.105,isp,CN 
58.243.115.106,58.243.115.106,business,CN 
58.243.115.107,58.243.115.109,isp,CN 
58.243.115.110,58.243.115.110,business,CN 
58.243.115.111,58.243.115.113,isp,CN 
58.243.115.114,58.243.115.118,business,CN 
58.243.115.119,58.243.115.121,isp,CN 
58.243.115.122,58.243.115.122,business,CN 
58.243.115.123,58.243.115.125,isp,CN 
58.243.115.126,58.243.115.126,business,CN 
58.243.115.127,58.243.115.133,isp,CN 
58.243.115.134,58.243.115.134,business,CN 
58.243.115.135,58.243.115.137,isp,CN 
58.243.115.138,58.243.115.138,business,CN 
58.243.115.139,58.243.115.141,isp,CN 
58.243.115.142,58.243.115.142,business,CN 
58.243.115.143,58.243.115.145,isp,CN 
58.243.115.146,58.243.115.146,business,CN 
58.243.115.147,58.243.115.149,isp,CN 
58.243.115.150,58.243.115.150,business,CN 
58.243.115.151,58.243.115.153,isp,CN 
58.243.115.154,58.243.115.158,business,CN 
58.243.115.159,58.243.115.161,isp,CN 
58.243.115.162,58.243.115.162,business,CN 
58.243.115.163,58.243.115.165,isp,CN 
58.243.115.166,58.243.115.166,business,CN 
58.243.115.167,58.243.115.169,isp,CN 
58.243.115.170,58.243.115.170,business,CN 
58.243.115.171,58.243.115.173,isp,CN 
58.243.115.174,58.243.115.174,business,CN 
58.243.115.175,58.243.115.177,isp,CN 
58.243.115.178,58.243.115.178,business,CN 
58.243.115.179,58.243.115.181,isp,CN 
58.243.115.182,58.243.115.182,business,CN 
58.243.115.183,58.243.115.185,isp,CN 
58.243.115.186,58.243.115.186,business,CN 
58.243.115.187,58.243.115.193,isp,CN 
58.243.115.194,58.243.115.194,business,CN 
58.243.115.195,58.243.115.197,isp,CN 
58.243.115.198,58.243.115.198,business,CN 
58.243.115.199,58.243.115.201,isp,CN 
58.243.115.202,58.243.115.202,business,CN 
58.243.115.203,58.243.115.205,isp,CN 
58.243.115.206,58.243.115.206,business,CN 
58.243.115.207,58.243.115.209,isp,CN 
58.243.115.210,58.243.115.214,business,CN 
58.243.115.215,58.243.115.217,isp,CN 
58.243.115.218,58.243.115.218,business,CN 
58.243.115.219,58.243.115.221,isp,CN 
