58.181.0.0,58.181.63.255,hosting,KR,AS17877 
58.181.64.0,58.181.95.255,hosting,AU,AS24570 
58.181.96.0,58.181.111.255,isp,PK,AS9557 
58.181.112.0,58.181.126.255,isp,PK,AS17557 
58.181.127.0,58.181.127.255,isp,PK, 
58.181.128.0,58.181.146.255,isp,TH,AS7693 
58.181.147.0,58.181.147.255,education,TH,AS7693 
58.181.148.0,58.181.177.255,isp,TH,AS7693 
58.181.178.0,58.181.178.255,business,TH,AS45471 
58.181.179.0,58.181.196.127,isp,TH,AS7693 
58.181.196.128,58.181.196.191,education,TH,AS7693 
58.181.196.192,58.181.255.255,isp,TH,AS7693 
