27.120.0.0,27.120.63.255,isp,KR,AS23578 
27.120.64.0,27.120.81.255,business,JP,AS10013 
27.120.82.0,27.120.82.255,isp,JP,AS10013 
27.120.83.0,27.120.106.255,business,JP,AS10013 
27.120.107.0,27.120.108.255,isp,JP,AS10013 
27.120.109.0,27.120.121.255,business,JP,AS10013 
27.120.122.0,27.120.122.255,isp,JP,AS10013 
27.120.123.0,27.120.129.255,business,JP,AS10013 
27.120.130.0,27.120.132.127,isp,JP,AS10013 
27.120.132.128,27.120.132.255,business,JP,AS10013 
27.120.133.0,27.120.133.191,isp,JP,AS10013 
27.120.133.192,27.120.133.255,business,JP,AS10013 
27.120.134.0,27.120.134.127,isp,JP,AS10013 
27.120.134.128,27.120.134.255,business,JP,AS10013 
27.120.135.0,27.120.137.31,isp,JP,AS10013 
27.120.137.32,27.120.137.39,business,JP,AS10013 
27.120.137.40,27.120.137.119,isp,JP,AS10013 
27.120.137.120,27.120.137.135,business,JP,AS10013 
27.120.137.136,27.120.137.215,isp,JP,AS10013 
27.120.137.216,27.120.137.223,business,JP,AS10013 
27.120.137.224,27.120.137.255,isp,JP,AS10013 
27.120.138.0,27.120.139.15,business,JP,AS10013 
27.120.139.16,27.120.140.223,isp,JP,AS10013 
27.120.140.224,27.120.143.255,business,JP,AS10013 
27.120.144.0,27.120.175.255,business,JP,AS7522 
27.120.176.0,27.120.179.255,isp,JP, 
27.120.180.0,27.120.180.255,business,JP,AS10013 
27.120.181.0,27.120.181.191,isp,JP,AS10013 
27.120.181.192,27.120.181.207,business,JP,AS10013 
27.120.181.208,27.120.182.255,isp,JP,AS10013 
27.120.183.0,27.120.183.63,business,JP,AS10013 
27.120.183.64,27.120.183.127,isp,JP,AS10013 
27.120.183.128,27.120.183.255,business,JP,AS10013 
27.120.184.0,27.120.185.31,isp,JP,AS10013 
27.120.185.32,27.120.185.39,business,JP,AS10013 
27.120.185.40,27.120.185.127,isp,JP,AS10013 
27.120.185.128,27.120.185.135,business,JP,AS10013 
27.120.185.136,27.120.194.255,isp,JP,AS10013 
27.120.195.0,27.120.195.255,business,JP,AS10013 
27.120.196.0,27.120.203.255,isp,JP,AS10013 
27.120.204.0,27.120.205.255,business,JP,AS10013 
27.120.206.0,27.120.209.255,isp,JP,AS10013 
27.120.210.0,27.120.255.255,business,JP,AS10013 
