176.222.0.0,176.222.15.255,isp,BG,AS12716 
176.222.16.0,176.222.16.255,isp,RU,AS44579 
176.222.17.0,176.222.17.255,business,RU,AS8359 
176.222.18.0,176.222.18.255,business,RU,AS41822 
176.222.19.0,176.222.19.255,business,RU, 
176.222.20.0,176.222.23.255,isp,RU, 
176.222.24.0,176.222.24.127,hosting,ES,AS198270 
176.222.24.128,176.222.25.255,business,ES,AS198270 
176.222.26.0,176.222.26.255,hosting,ES,AS209370 
176.222.27.0,176.222.27.255,business,ES,AS61408 
176.222.28.0,176.222.28.255,business,ES,AS198270 
176.222.29.0,176.222.30.255,business,ES,AS61408 
176.222.31.0,176.222.31.255,hosting,ES,AS209370 
176.222.32.0,176.222.33.127,isp,HR,AS34594 
176.222.33.128,176.222.35.255,business,HR,AS34594 
176.222.36.0,176.222.47.255,isp,HR,AS34594 
176.222.48.0,176.222.51.255,business,US,AS7018 
176.222.52.0,176.222.55.255,hosting,NL,AS57043 
176.222.56.0,176.222.57.255,business,RU,AS49505 
176.222.58.0,176.222.58.255,business,DE,AS62240 
176.222.59.0,176.222.59.255,business,RU,AS49505 
176.222.60.0,176.222.63.255,business,IQ,AS48492 
176.222.64.0,176.222.77.255,isp,ES,AS15704 
176.222.78.0,176.222.78.255,business,ES,AS15704 
176.222.79.0,176.222.95.255,isp,ES,AS15704 
176.222.96.0,176.222.103.255,business,SE,AS12552 
176.222.104.0,176.222.104.255,education,SE,AS12552 
176.222.105.0,176.222.109.255,business,SE,AS12552 
176.222.110.0,176.222.110.255,hosting,DK,AS12552 
176.222.111.0,176.222.119.255,business,SE,AS12552 
176.222.120.0,176.222.127.255,business,FI,AS12552 
176.222.128.0,176.222.129.255,isp,KZ,AS21299 
176.222.130.0,176.222.131.255,business,KZ,AS197556 
176.222.132.0,176.222.151.255,isp,KZ,AS21299 
176.222.152.0,176.222.155.255,business,KZ,AS197556 
176.222.156.0,176.222.191.255,isp,KZ,AS21299 
176.222.192.0,176.222.199.255,isp,RU,AS60891 
176.222.200.0,176.222.207.255,isp,RU,AS8359 
176.222.208.0,176.222.208.103,business,FR,AS35283 
176.222.208.104,176.222.208.111,isp,FR,AS35283 
176.222.208.112,176.222.208.120,business,FR,AS35283 
176.222.208.121,176.222.208.127,isp,FR,AS35283 
176.222.208.128,176.222.208.207,business,FR,AS35283 
176.222.208.208,176.222.209.31,isp,FR,AS35283 
176.222.209.32,176.222.209.95,business,FR,AS35283 
176.222.209.96,176.222.209.127,isp,FR,AS35283 
176.222.209.128,176.222.210.191,business,FR,AS35283 
176.222.210.192,176.222.210.255,isp,FR,AS35283 
176.222.211.0,176.222.213.223,business,FR,AS35283 
176.222.213.224,176.222.213.255,isp,FR,AS35283 
176.222.214.0,176.222.214.255,business,FR,AS35283 
176.222.215.0,176.222.215.255,isp,FR,AS35283 
176.222.216.0,176.222.223.255,isp,RU,AS12714 
176.222.224.0,176.222.231.255,isp,CZ,AS198282 
176.222.232.0,176.222.233.255,business,DK,AS28717 
176.222.234.0,176.222.236.127,hosting,DK,AS28717 
176.222.236.128,176.222.236.143,business,DK,AS28717 
176.222.236.144,176.222.237.255,hosting,DK,AS28717 
176.222.238.0,176.222.239.255,business,DK,AS28717 
176.222.240.0,176.222.255.255,isp,RU,AS41560 
