60.220.16.0,60.220.84.255,business,CN,AS4837 
60.220.85.0,60.220.85.255,isp,CN,AS4837 
60.220.86.0,60.220.117.255,business,CN,AS4837 
60.220.118.0,60.220.127.255,isp,CN,AS4837 
60.220.128.0,60.220.139.255,business,CN,AS4837 
60.220.140.0,60.220.141.255,isp,CN,AS4837 
60.220.142.0,60.220.147.255,business,CN,AS4837 
60.220.148.0,60.220.151.255,isp,CN,AS4837 
60.220.152.0,60.220.181.255,business,CN,AS4837 
60.220.182.0,60.220.214.132,isp,CN,AS4837 
60.220.214.133,60.220.214.135,business,CN,AS4837 
60.220.214.136,60.220.247.255,isp,CN,AS4837 
60.220.248.0,60.220.248.11,business,CN,AS4837 
60.220.248.12,60.220.248.15,isp,CN,AS4837 
60.220.248.16,60.220.248.35,business,CN,AS4837 
60.220.248.36,60.220.248.43,isp,CN,AS4837 
60.220.248.44,60.220.248.155,business,CN,AS4837 
60.220.248.156,60.220.248.159,isp,CN,AS4837 
60.220.248.160,60.220.248.163,business,CN,AS4837 
60.220.248.164,60.220.248.191,isp,CN,AS4837 
60.220.248.192,60.220.248.247,business,CN,AS4837 
60.220.248.248,60.220.248.255,isp,CN,AS4837 
60.220.249.0,60.220.249.47,business,CN,AS4837 
60.220.249.48,60.220.249.255,isp,CN,AS4837 
60.220.250.0,60.220.250.3,business,CN,AS4837 
60.220.250.4,60.220.250.7,isp,CN,AS4837 
60.220.250.8,60.220.250.11,business,CN,AS4837 
60.220.250.12,60.220.250.15,isp,CN,AS4837 
60.220.250.16,60.220.250.19,business,CN,AS4837 
60.220.250.20,60.220.250.255,isp,CN,AS4837 
60.220.251.0,60.220.251.11,business,CN,AS4837 
60.220.251.12,60.220.251.255,isp,CN,AS4837 
60.220.252.0,60.220.252.3,business,CN,AS4837 
60.220.252.4,60.220.253.255,isp,CN,AS4837 
60.220.254.0,60.220.254.51,business,CN,AS4837 
60.220.254.52,60.220.254.55,isp,CN,AS4837 
60.220.254.56,60.220.254.59,business,CN,AS4837 
60.220.254.60,60.220.254.63,isp,CN,AS4837 
60.220.254.64,60.220.254.67,business,CN,AS4837 
60.220.254.68,60.220.254.71,isp,CN,AS4837 
60.220.254.72,60.220.254.75,business,CN,AS4837 
60.220.254.76,60.220.254.255,isp,CN,AS4837 
60.220.255.0,60.220.255.67,business,CN,AS4837 
60.220.255.68,60.220.255.71,isp,CN,AS4837 
60.220.255.72,60.220.255.75,business,CN,AS4837 
60.220.255.76,60.220.255.79,isp,CN,AS4837 
60.220.255.80,60.220.255.83,business,CN,AS4837 
60.220.255.84,60.220.255.87,isp,CN,AS4837 
60.220.255.88,60.220.255.91,business,CN,AS4837 
60.220.255.92,60.220.255.95,isp,CN,AS4837 
60.220.255.96,60.220.255.99,business,CN,AS4837 
60.220.255.100,60.220.255.127,isp,CN,AS4837 
60.220.255.128,60.220.255.171,business,CN,AS4837 
60.220.255.172,60.220.255.175,isp,CN,AS4837 
60.220.255.176,60.220.255.179,business,CN,AS4837 
60.220.255.180,60.222.248.1,isp,CN,AS4837 
