60.253.0.0,60.253.95.255,isp,KR 
60.253.96.0,60.253.114.111,isp,ID 
60.253.114.112,60.253.114.119,business,ID 
60.253.114.120,60.253.115.47,isp,ID 
60.253.115.48,60.253.115.55,business,ID 
60.253.115.56,60.253.118.239,isp,ID 
60.253.118.240,60.253.118.255,business,ID 
60.253.119.0,60.253.127.255,isp,ID 
60.253.128.0,60.253.255.255,business,CN 
