60.215.8.0,60.215.8.3,business,CN 
60.215.8.4,60.215.109.127,isp,CN 
60.215.109.128,60.215.109.191,business,CN 
60.215.109.192,60.215.109.207,isp,CN 
60.215.109.208,60.215.109.239,business,CN 
60.215.109.240,60.215.127.127,isp,CN 
60.215.127.128,60.215.127.255,education,CN 
60.215.128.0,60.215.145.7,isp,CN 
60.215.145.8,60.215.145.31,business,CN 
60.215.145.32,60.215.145.63,isp,CN 
60.215.145.64,60.215.145.127,business,CN 
60.215.145.128,60.215.147.231,isp,CN 
60.215.147.232,60.215.147.239,business,CN 
60.215.147.240,60.215.147.247,isp,CN 
60.215.147.248,60.215.148.139,business,CN 
60.215.148.140,60.215.148.143,isp,CN 
60.215.148.144,60.215.149.255,business,CN 
60.215.150.0,60.215.150.255,isp,CN 
60.215.151.0,60.215.151.31,business,CN 
60.215.151.32,60.215.152.127,isp,CN 
60.215.152.128,60.215.152.191,business,CN 
60.215.152.192,60.215.255.255,isp,CN 
