23.134.0.0,23.134.0.255,government,US 
23.134.8.0,23.134.8.255,isp,PR 
23.134.16.0,23.134.17.255,isp,US 
23.134.24.0,23.134.24.255,isp,US 
23.134.32.0,23.134.32.255,business,CA 
23.134.40.0,23.134.40.255,business,US 
23.134.48.0,23.134.48.255,business,CA 
23.134.56.0,23.134.56.255,business,US 
23.134.64.0,23.134.64.255,business,US 
23.134.80.0,23.134.80.255,hosting,US 
23.134.82.0,23.134.82.255,business,US 
23.134.88.0,23.134.94.255,hosting,US 
23.134.96.0,23.134.96.31,isp,US 
23.134.96.32,23.134.96.63,business,US 
23.134.96.64,23.134.96.95,isp,US 
23.134.96.96,23.134.96.127,business,US 
23.134.96.128,23.134.96.223,isp,US 
23.134.96.224,23.134.96.255,business,US 
23.134.97.0,23.134.97.179,isp,US 
23.134.97.180,23.134.97.183,business,US 
23.134.97.184,23.134.97.255,isp,US 
23.134.104.0,23.134.104.255,hosting,US 
23.134.112.0,23.134.112.255,hosting,CA 
23.134.120.0,23.134.120.255,hosting,US 
23.134.128.0,23.134.128.255,business,US 
23.134.136.0,23.134.136.255,hosting,US 
23.134.144.0,23.134.144.255,isp,US 
23.134.152.0,23.134.154.255,business,US 
23.134.160.0,23.134.160.255,isp,CA 
23.134.168.0,23.134.168.255,hosting,US 
23.134.176.0,23.134.176.255,isp,US 
23.134.184.0,23.134.184.255,isp,US 
23.134.192.0,23.134.195.63,isp,US 
23.134.195.64,23.134.195.95,business,US 
23.134.195.96,23.134.195.255,isp,US 
23.134.200.0,23.134.201.255,isp,US 
23.134.216.0,23.134.216.255,hosting,DE 
23.134.224.0,23.134.225.255,business,US 
23.134.232.0,23.134.235.255,education,US 
23.134.240.0,23.134.240.255,business,CA 
23.134.248.0,23.134.248.255,isp,US 
