23.214.68.0,23.214.73.255,hosting,NL,AS16625 
23.214.74.0,23.214.115.255,hosting,US,AS20940 
23.214.116.0,23.214.159.255,hosting,NL,AS16625 
23.214.160.0,23.214.191.255,hosting,NL,AS20940 
23.214.192.0,23.214.195.255,hosting,NL,AS16625 
23.214.196.0,23.214.197.255,hosting,NL,AS20940 
23.214.198.0,23.214.198.255,hosting,US,AS20940 
23.214.199.0,23.214.199.255,hosting,NL,AS20940 
23.214.200.0,23.214.203.255,hosting,NL,AS16625 
23.214.204.0,23.214.207.255,hosting,US,AS20940 
23.214.208.0,23.214.223.255,hosting,NL,AS16625 
23.214.224.0,23.215.8.255,hosting,US,AS20940 
