23.173.0.0,23.173.0.255,government,US 
23.173.8.0,23.173.8.255,hosting,VN 
23.173.16.0,23.173.16.223,isp,US 
23.173.16.224,23.173.16.227,business,US 
23.173.16.228,23.173.16.235,isp,US 
23.173.16.236,23.173.16.239,education,US 
23.173.16.240,23.173.16.243,isp,US 
23.173.16.244,23.173.16.247,business,US 
23.173.16.248,23.173.16.251,education,US 
23.173.16.252,23.173.16.255,isp,US 
23.173.24.0,23.173.24.255,isp,US 
23.173.32.0,23.173.34.255,isp,US 
23.173.40.0,23.173.40.255,isp,US 
23.173.48.0,23.173.48.255,hosting,CA 
23.173.56.0,23.173.56.255,business,US 
23.173.72.0,23.173.72.255,isp,US 
23.173.80.0,23.173.80.255,business,US 
23.173.88.0,23.173.88.255,hosting,CA 
23.173.96.0,23.173.96.255,business,US 
23.173.104.0,23.173.105.255,isp,CA 
23.173.112.0,23.173.114.255,hosting,US 
23.173.120.0,23.173.120.255,isp,US 
23.173.128.0,23.173.128.255,isp,US 
23.173.136.0,23.173.136.255,hosting,US 
23.173.144.0,23.173.144.255,isp,CA 
23.173.152.0,23.173.152.255,hosting,US 
23.173.160.0,23.173.160.255,isp,PR 
23.173.168.0,23.173.168.255,hosting,US 
23.173.176.0,23.173.176.255,business,US 
23.173.184.0,23.173.184.255,hosting,US 
23.173.192.0,23.173.192.255,business,US 
23.173.200.0,23.173.200.255,business,US 
23.173.208.0,23.173.212.255,isp,US 
23.173.216.0,23.173.216.255,hosting,US 
23.173.224.0,23.173.225.255,isp,US 
23.173.232.0,23.173.232.255,business,US 
23.173.240.0,23.173.240.255,isp,US 
23.173.248.0,23.173.248.255,isp,US 
