23.105.12.192,23.105.12.223,hosting,IN 
23.105.12.224,23.105.33.31,hosting,US 
23.105.33.32,23.105.33.47,business,US 
23.105.33.48,23.105.149.129,hosting,US 
23.105.149.130,23.105.149.130,business,CA 
23.105.149.131,23.105.170.63,hosting,US 
23.105.170.64,23.105.170.79,hosting,CA 
23.105.170.80,23.105.171.49,hosting,US 
23.105.171.50,23.105.171.50,hosting,CA 
23.105.171.51,23.105.171.64,hosting,US 
23.105.171.65,23.105.171.65,hosting,CA 
23.105.171.66,23.105.171.70,hosting,US 
23.105.171.71,23.105.171.73,hosting,CA 
23.105.171.74,23.105.171.78,hosting,US 
23.105.171.79,23.105.171.81,hosting,CA 
23.105.171.82,23.105.171.84,hosting,US 
23.105.171.85,23.105.171.90,hosting,CA 
23.105.171.91,23.105.171.92,hosting,US 
23.105.171.93,23.105.171.93,hosting,CA 
23.105.171.94,23.105.171.105,hosting,US 
23.105.171.106,23.105.171.106,hosting,CA 
23.105.171.107,23.105.171.113,hosting,US 
23.105.171.114,23.105.171.114,hosting,CA 
23.105.171.115,23.105.172.1,hosting,US 
23.105.172.2,23.105.172.5,hosting,CA 
23.105.172.6,23.105.172.6,hosting,US 
23.105.172.7,23.105.172.12,hosting,CA 
23.105.172.13,23.105.172.15,hosting,US 
23.105.172.16,23.105.172.16,hosting,CA 
23.105.172.17,23.105.172.19,hosting,US 
23.105.172.20,23.105.172.20,hosting,CA 
23.105.172.21,23.105.172.22,hosting,US 
23.105.172.23,23.105.172.24,hosting,CA 
23.105.172.25,23.105.172.25,hosting,US 
23.105.172.26,23.105.172.26,hosting,CA 
23.105.172.27,23.105.172.34,hosting,US 
23.105.172.35,23.105.172.35,hosting,CA 
23.105.172.36,23.105.191.255,hosting,US 
23.105.192.0,23.105.223.255,hosting,CA 
23.105.224.0,23.105.228.255,hosting,RU 
23.105.229.0,23.105.229.255,business,RU 
23.105.230.0,23.105.255.255,hosting,RU 
