23.109.0.0,23.109.71.255,hosting,NL 
23.109.72.0,23.109.75.255,hosting,SG 
23.109.76.0,23.109.119.255,hosting,NL 
23.109.120.0,23.109.123.255,hosting,SG 
23.109.124.0,23.109.124.255,hosting,NL 
23.109.125.0,23.109.125.255,hosting,RU 
23.109.126.0,23.109.126.255,hosting,NL 
23.109.127.0,23.109.127.255,hosting,RU 
23.109.128.0,23.109.131.255,hosting,NL 
23.109.132.0,23.109.133.255,hosting,GB 
23.109.134.0,23.109.135.255,hosting,SG 
23.109.136.0,23.109.139.255,hosting,LU 
23.109.140.0,23.109.243.255,hosting,NL 
23.109.244.0,23.109.245.255,hosting,RU 
23.109.246.0,23.109.255.255,hosting,NL 
