88.204.0.0,88.204.7.255,business,RU 
88.204.8.0,88.204.39.255,isp,RU 
88.204.40.0,88.204.47.255,hosting,GB 
88.204.48.0,88.204.58.255,isp,RU 
88.204.59.0,88.204.59.255,business,RU 
88.204.60.0,88.204.71.255,isp,RU 
88.204.72.0,88.204.79.255,education,RU 
88.204.80.0,88.204.95.255,isp,RU 
88.204.96.0,88.204.97.255,business,RU 
88.204.98.0,88.204.107.255,isp,RU 
88.204.108.0,88.204.109.255,business,RU 
88.204.110.0,88.204.111.255,hosting,RU 
88.204.112.0,88.204.127.255,isp,RU 
88.204.128.0,88.204.128.7,business,KZ 
88.204.128.8,88.204.128.31,isp,KZ 
88.204.128.32,88.204.128.39,business,KZ 
88.204.128.40,88.204.128.63,isp,KZ 
88.204.128.64,88.204.128.87,business,KZ 
88.204.128.88,88.204.128.95,isp,KZ 
88.204.128.96,88.204.128.127,business,KZ 
88.204.128.128,88.204.128.163,isp,KZ 
88.204.128.164,88.204.128.167,business,KZ 
88.204.128.168,88.204.128.171,isp,KZ 
88.204.128.172,88.204.128.179,business,KZ 
88.204.128.180,88.204.128.199,isp,KZ 
88.204.128.200,88.204.128.203,business,KZ 
88.204.128.204,88.204.128.207,isp,KZ 
88.204.128.208,88.204.128.215,business,KZ 
88.204.128.216,88.204.128.223,isp,KZ 
88.204.128.224,88.204.128.227,business,KZ 
88.204.128.228,88.204.128.231,isp,KZ 
88.204.128.232,88.204.128.235,business,KZ 
88.204.128.236,88.204.128.251,isp,KZ 
88.204.128.252,88.204.129.63,business,KZ 
88.204.129.64,88.204.129.127,isp,KZ 
88.204.129.128,88.204.129.155,business,KZ 
88.204.129.156,88.204.129.191,isp,KZ 
88.204.129.192,88.204.130.3,business,KZ 
88.204.130.4,88.204.130.7,isp,KZ 
88.204.130.8,88.204.130.15,business,KZ 
88.204.130.16,88.204.130.35,isp,KZ 
88.204.130.36,88.204.130.39,business,KZ 
88.204.130.40,88.204.130.47,isp,KZ 
88.204.130.48,88.204.130.63,business,KZ 
88.204.130.64,88.204.130.151,isp,KZ 
88.204.130.152,88.204.130.159,business,KZ 
88.204.130.160,88.204.130.175,isp,KZ 
88.204.130.176,88.204.130.179,business,KZ 
88.204.130.180,88.204.130.183,isp,KZ 
88.204.130.184,88.204.130.191,business,KZ 
88.204.130.192,88.204.130.195,isp,KZ 
88.204.130.196,88.204.130.199,business,KZ 
88.204.130.200,88.204.130.215,isp,KZ 
88.204.130.216,88.204.130.219,business,KZ 
88.204.130.220,88.204.130.223,isp,KZ 
88.204.130.224,88.204.130.231,business,KZ 
88.204.130.232,88.204.130.239,isp,KZ 
88.204.130.240,88.204.130.243,business,KZ 
88.204.130.244,88.204.130.251,isp,KZ 
88.204.130.252,88.204.131.7,business,KZ 
88.204.131.8,88.204.131.15,isp,KZ 
88.204.131.16,88.204.131.19,business,KZ 
88.204.131.20,88.204.131.31,isp,KZ 
88.204.131.32,88.204.131.51,business,KZ 
88.204.131.52,88.204.131.55,isp,KZ 
88.204.131.56,88.204.131.63,business,KZ 
88.204.131.64,88.204.131.95,isp,KZ 
88.204.131.96,88.204.131.99,business,KZ 
88.204.131.100,88.204.131.127,isp,KZ 
88.204.131.128,88.204.131.135,business,KZ 
88.204.131.136,88.204.131.139,isp,KZ 
88.204.131.140,88.204.131.143,business,KZ 
88.204.131.144,88.204.131.159,isp,KZ 
88.204.131.160,88.204.131.175,business,KZ 
88.204.131.176,88.204.131.199,isp,KZ 
88.204.131.200,88.204.131.203,business,KZ 
88.204.131.204,88.204.131.211,isp,KZ 
88.204.131.212,88.204.131.219,business,KZ 
88.204.131.220,88.204.131.255,isp,KZ 
88.204.132.0,88.204.132.3,business,KZ 
88.204.132.4,88.204.132.7,isp,KZ 
88.204.132.8,88.204.132.11,business,KZ 
88.204.132.12,88.204.132.15,isp,KZ 
88.204.132.16,88.204.132.23,business,KZ 
88.204.132.24,88.204.132.39,isp,KZ 
88.204.132.40,88.204.132.43,business,KZ 
88.204.132.44,88.204.132.47,isp,KZ 
88.204.132.48,88.204.132.55,business,KZ 
88.204.132.56,88.204.132.67,isp,KZ 
88.204.132.68,88.204.132.71,business,KZ 
88.204.132.72,88.204.132.95,isp,KZ 
88.204.132.96,88.204.132.127,business,KZ 
88.204.132.128,88.204.132.131,isp,KZ 
88.204.132.132,88.204.132.135,business,KZ 
88.204.132.136,88.204.132.139,isp,KZ 
88.204.132.140,88.204.132.147,business,KZ 
88.204.132.148,88.204.132.195,isp,KZ 
