88.149.0.0,88.149.55.255,business,IS,AS12969 
88.149.56.0,88.149.61.255,isp,IS,AS12969 
88.149.62.0,88.149.62.255,business,IS,AS12969 
88.149.63.0,88.149.66.255,isp,IS,AS12969 
88.149.67.0,88.149.67.255,business,IS,AS12969 
88.149.68.0,88.149.71.255,isp,IS,AS12969 
88.149.72.0,88.149.79.255,business,IS,AS12969 
88.149.80.0,88.149.114.255,isp,IS,AS12969 
88.149.115.0,88.149.127.255,business,IS,AS12969 
88.149.128.0,88.149.132.7,isp,IT,AS35612 
88.149.132.8,88.149.132.31,business,IT,AS35612 
88.149.132.32,88.149.132.39,isp,IT,AS35612 
88.149.132.40,88.149.132.47,business,IT,AS35612 
88.149.132.48,88.149.132.79,isp,IT,AS35612 
88.149.132.80,88.149.132.87,business,IT,AS35612 
88.149.132.88,88.149.132.95,isp,IT,AS35612 
88.149.132.96,88.149.132.111,business,IT,AS35612 
88.149.132.112,88.149.132.127,isp,IT,AS35612 
88.149.132.128,88.149.132.143,business,IT,AS35612 
88.149.132.144,88.149.132.151,isp,IT,AS35612 
88.149.132.152,88.149.132.175,business,IT,AS35612 
88.149.132.176,88.149.132.183,isp,IT,AS35612 
88.149.132.184,88.149.132.191,business,IT,AS35612 
88.149.132.192,88.149.132.255,isp,IT,AS35612 
88.149.133.0,88.149.133.7,business,IT,AS35612 
88.149.133.8,88.149.133.31,isp,IT,AS35612 
88.149.133.32,88.149.133.47,business,IT,AS35612 
88.149.133.48,88.149.133.103,isp,IT,AS35612 
88.149.133.104,88.149.133.119,business,IT,AS35612 
88.149.133.120,88.149.133.143,isp,IT,AS35612 
88.149.133.144,88.149.133.175,business,IT,AS35612 
88.149.133.176,88.149.133.183,isp,IT,AS35612 
88.149.133.184,88.149.133.191,business,IT,AS35612 
88.149.133.192,88.149.133.199,isp,IT,AS35612 
88.149.133.200,88.149.133.207,business,IT,AS35612 
88.149.133.208,88.149.133.215,isp,IT,AS35612 
88.149.133.216,88.149.133.223,business,IT,AS35612 
88.149.133.224,88.149.133.239,isp,IT,AS35612 
88.149.133.240,88.149.134.7,business,IT,AS35612 
88.149.134.8,88.149.134.15,isp,IT,AS35612 
88.149.134.16,88.149.134.31,business,IT,AS35612 
88.149.134.32,88.149.134.39,isp,IT,AS35612 
88.149.134.40,88.149.134.47,business,IT,AS35612 
88.149.134.48,88.149.134.71,isp,IT,AS35612 
88.149.134.72,88.149.134.103,business,IT,AS35612 
88.149.134.104,88.149.134.175,isp,IT,AS35612 
88.149.134.176,88.149.134.183,business,IT,AS35612 
88.149.134.184,88.149.134.191,isp,IT,AS35612 
88.149.134.192,88.149.134.215,business,IT,AS35612 
88.149.134.216,88.149.134.223,isp,IT,AS35612 
88.149.134.224,88.149.134.247,business,IT,AS35612 
88.149.134.248,88.149.134.255,isp,IT,AS35612 
88.149.135.0,88.149.135.47,business,IT,AS35612 
88.149.135.48,88.149.135.55,isp,IT,AS35612 
88.149.135.56,88.149.135.79,business,IT,AS35612 
88.149.135.80,88.149.135.95,isp,IT,AS35612 
88.149.135.96,88.149.135.103,business,IT,AS35612 
88.149.135.104,88.149.135.111,isp,IT,AS35612 
88.149.135.112,88.149.135.119,business,IT,AS35612 
88.149.135.120,88.149.135.151,isp,IT,AS35612 
88.149.135.152,88.149.135.183,business,IT,AS35612 
88.149.135.184,88.149.135.199,isp,IT,AS35612 
88.149.135.200,88.149.135.215,business,IT,AS35612 
88.149.135.216,88.149.135.231,isp,IT,AS35612 
88.149.135.232,88.149.135.239,business,IT,AS35612 
