88.118.0.0,88.118.29.255,isp,LT,AS8764 
88.118.30.0,88.118.31.255,isp,LT, 
88.118.32.0,88.118.131.255,isp,LT,AS8764 
88.118.132.0,88.118.132.255,business,LT,AS8764 
88.118.133.0,88.118.133.255,isp,LT,AS8764 
88.118.134.0,88.118.134.127,business,LT,AS8764 
88.118.134.128,88.118.134.191,isp,LT,AS8764 
88.118.134.192,88.118.135.15,business,LT,AS8764 
88.118.135.16,88.118.135.23,isp,LT,AS8764 
88.118.135.24,88.118.135.55,business,LT,AS8764 
88.118.135.56,88.118.135.63,isp,LT,AS8764 
88.118.135.64,88.118.135.71,business,LT,AS8764 
88.118.135.72,88.118.135.95,isp,LT,AS8764 
88.118.135.96,88.118.135.119,business,LT,AS8764 
88.118.135.120,88.118.135.135,isp,LT,AS8764 
88.118.135.136,88.118.135.143,business,LT,AS8764 
88.118.135.144,88.118.135.151,isp,LT,AS8764 
88.118.135.152,88.118.135.159,business,LT,AS8764 
88.118.135.160,88.118.135.191,isp,LT,AS8764 
88.118.135.192,88.118.135.207,business,LT,AS8764 
88.118.135.208,88.118.135.215,isp,LT,AS8764 
88.118.135.216,88.118.135.223,business,LT,AS8764 
88.118.135.224,88.118.135.231,education,LT,AS8764 
88.118.135.232,88.118.135.239,isp,LT,AS8764 
88.118.135.240,88.118.135.247,business,LT,AS8764 
88.118.135.248,88.118.135.255,isp,LT,AS8764 
88.118.136.0,88.118.136.87,business,LT,AS8764 
88.118.136.88,88.118.136.95,isp,LT,AS8764 
88.118.136.96,88.118.136.103,business,LT,AS8764 
88.118.136.104,88.118.136.119,isp,LT,AS8764 
88.118.136.120,88.118.136.135,business,LT,AS8764 
88.118.136.136,88.118.136.143,isp,LT,AS8764 
88.118.136.144,88.118.136.159,business,LT,AS8764 
88.118.136.160,88.118.136.167,isp,LT,AS8764 
88.118.136.168,88.118.136.175,business,LT,AS8764 
88.118.136.176,88.118.136.183,isp,LT,AS8764 
88.118.136.184,88.118.136.191,business,LT,AS8764 
88.118.136.192,88.119.159.255,isp,LT,AS8764 
