88.133.0.0,88.133.63.255,business,DE,AS197524 
88.133.64.0,88.133.127.255,isp,DE,AS197524 
88.133.128.0,88.133.143.255,business,DE,AS197524 
88.133.144.0,88.133.155.255,isp,AT,AS56833 
88.133.156.0,88.133.159.255,isp,DE,AS197524 
88.133.160.0,88.133.175.255,isp,DE,AS29413 
88.133.176.0,88.133.191.255,isp,DE,AS12611 
88.133.192.0,88.133.223.255,isp,DE,AS41307 
88.133.224.0,88.133.231.255,isp,DE,AS29413 
88.133.232.0,88.133.239.255,isp,DE,AS12611 
88.133.240.0,88.133.247.255,isp,DE,AS48284 
88.133.248.0,88.133.255.255,isp,DE,AS57154 
