177.104.32.0,177.104.63.255,government,BR 
177.104.64.0,177.104.139.255,isp,BR 
177.104.140.0,177.104.140.127,business,BR 
177.104.140.128,177.104.184.255,isp,BR 
177.104.185.0,177.104.185.255,business,BR 
177.104.186.0,177.104.187.255,isp,BR 
177.104.188.0,177.104.191.255,business,BR 
177.104.192.0,177.104.193.7,isp,BR 
177.104.193.8,177.104.193.11,business,BR 
177.104.193.12,177.104.206.111,isp,BR 
177.104.206.112,177.104.206.127,business,BR 
177.104.206.128,177.104.255.255,isp,BR 
