177.202.41.200,177.202.41.207,education,BR 
177.202.41.208,177.202.42.127,isp,BR 
177.202.42.128,177.202.43.255,business,BR 
177.202.44.0,177.202.202.159,isp,BR 
177.202.202.160,177.202.202.167,business,BR 
177.202.202.168,177.202.211.7,isp,BR 
177.202.211.8,177.202.211.15,business,BR 
177.202.211.16,177.202.211.47,isp,BR 
177.202.211.48,177.202.211.63,business,BR 
177.202.211.64,177.202.211.87,isp,BR 
177.202.211.88,177.202.211.95,business,BR 
177.202.211.96,177.202.211.127,isp,BR 
177.202.211.128,177.202.211.143,business,BR 
177.202.211.144,177.202.211.159,isp,BR 
177.202.211.160,177.202.211.167,business,BR 
177.202.211.168,177.202.211.223,isp,BR 
177.202.211.224,177.202.211.231,business,BR 
177.202.211.232,177.202.221.7,isp,BR 
177.202.221.8,177.202.221.15,business,BR 
177.202.221.16,177.203.9.23,isp,BR 
