177.105.0.0,177.105.63.255,government,BR,AS52853 
177.105.64.0,177.105.64.171,isp,BR,AS262637 
177.105.64.172,177.105.64.175,business,BR,AS262637 
177.105.64.176,177.105.64.191,isp,BR,AS262637 
177.105.64.192,177.105.64.199,business,BR,AS262637 
177.105.64.200,177.105.64.215,isp,BR,AS262637 
177.105.64.216,177.105.64.219,business,BR,AS262637 
177.105.64.220,177.105.65.7,isp,BR,AS262637 
177.105.65.8,177.105.65.15,business,BR,AS262637 
177.105.65.16,177.105.65.19,isp,BR,AS262637 
177.105.65.20,177.105.65.23,business,BR,AS262637 
177.105.65.24,177.105.65.31,isp,BR,AS262637 
177.105.65.32,177.105.65.35,business,BR,AS262637 
177.105.65.36,177.105.65.63,isp,BR,AS262637 
177.105.65.64,177.105.65.67,business,BR,AS262637 
177.105.65.68,177.105.65.75,isp,BR,AS262637 
177.105.65.76,177.105.65.79,business,BR,AS262637 
177.105.65.80,177.105.65.95,isp,BR,AS262637 
177.105.65.96,177.105.65.99,business,BR,AS262637 
177.105.65.100,177.105.65.127,isp,BR,AS262637 
177.105.65.128,177.105.65.135,business,BR,AS262637 
177.105.65.136,177.105.65.139,isp,BR,AS262637 
177.105.65.140,177.105.65.143,business,BR,AS262637 
177.105.65.144,177.105.65.175,isp,BR,AS262637 
177.105.65.176,177.105.65.179,business,BR,AS262637 
177.105.65.180,177.105.65.191,isp,BR,AS262637 
177.105.65.192,177.105.65.199,business,BR,AS262637 
177.105.65.200,177.105.65.207,isp,BR,AS262637 
177.105.65.208,177.105.65.215,business,BR,AS262637 
177.105.65.216,177.105.65.251,isp,BR,AS262637 
177.105.65.252,177.105.65.255,business,BR,AS262637 
177.105.66.0,177.105.66.7,isp,BR,AS262637 
177.105.66.8,177.105.66.15,business,BR,AS262637 
177.105.66.16,177.105.66.31,isp,BR,AS262637 
177.105.66.32,177.105.66.35,business,BR,AS262637 
177.105.66.36,177.105.66.43,isp,BR,AS262637 
177.105.66.44,177.105.66.47,business,BR,AS262637 
177.105.66.48,177.105.66.59,isp,BR,AS262637 
177.105.66.60,177.105.66.63,business,BR,AS262637 
177.105.66.64,177.105.66.95,isp,BR,AS262637 
177.105.66.96,177.105.66.111,business,BR,AS262637 
177.105.66.112,177.105.66.115,isp,BR,AS262637 
177.105.66.116,177.105.66.119,business,BR,AS262637 
177.105.66.120,177.105.66.127,isp,BR,AS262637 
177.105.66.128,177.105.66.135,business,BR,AS262637 
177.105.66.136,177.105.66.143,isp,BR,AS262637 
177.105.66.144,177.105.66.151,business,BR,AS262637 
177.105.66.152,177.105.66.175,isp,BR,AS262637 
177.105.66.176,177.105.66.183,business,BR,AS262637 
177.105.66.184,177.105.66.191,isp,BR,AS262637 
177.105.66.192,177.105.66.199,business,BR,AS262637 
177.105.66.200,177.105.66.207,isp,BR,AS262637 
177.105.66.208,177.105.66.211,business,BR,AS262637 
177.105.66.212,177.105.66.231,isp,BR,AS262637 
177.105.66.232,177.105.66.239,business,BR,AS262637 
177.105.66.240,177.105.66.255,isp,BR,AS262637 
177.105.67.0,177.105.67.7,business,BR,AS262637 
177.105.67.8,177.105.67.11,isp,BR,AS262637 
177.105.67.12,177.105.67.15,business,BR,AS262637 
177.105.67.16,177.105.67.27,isp,BR,AS262637 
177.105.67.28,177.105.67.31,business,BR,AS262637 
177.105.67.32,177.105.67.39,isp,BR,AS262637 
177.105.67.40,177.105.67.43,business,BR,AS262637 
177.105.67.44,177.105.67.55,isp,BR,AS262637 
177.105.67.56,177.105.67.59,business,BR,AS262637 
177.105.67.60,177.105.67.67,isp,BR,AS262637 
177.105.67.68,177.105.67.71,business,BR,AS262637 
177.105.67.72,177.105.67.79,isp,BR,AS262637 
177.105.67.80,177.105.67.87,business,BR,AS262637 
177.105.67.88,177.105.67.119,isp,BR,AS262637 
177.105.67.120,177.105.67.127,business,BR,AS262637 
177.105.67.128,177.105.67.139,isp,BR,AS262637 
177.105.67.140,177.105.67.147,business,BR,AS262637 
177.105.67.148,177.105.67.159,isp,BR,AS262637 
177.105.67.160,177.105.67.183,business,BR,AS262637 
177.105.67.184,177.105.67.199,isp,BR,AS262637 
177.105.67.200,177.105.67.203,education,BR,AS262637 
177.105.67.204,177.105.67.219,isp,BR,AS262637 
177.105.67.220,177.105.67.231,business,BR,AS262637 
177.105.67.232,177.105.71.255,isp,BR,AS262637 
177.105.72.0,177.105.72.3,business,BR,AS262637 
177.105.72.4,177.105.72.15,isp,BR,AS262637 
177.105.72.16,177.105.72.19,business,BR,AS262637 
177.105.72.20,177.105.72.31,isp,BR,AS262637 
177.105.72.32,177.105.72.55,business,BR,AS262637 
177.105.72.56,177.105.72.63,isp,BR,AS262637 
