177.190.0.0,177.190.63.255,isp,BR,AS28151 
177.190.64.0,177.190.71.255,isp,BR,AS263289 
177.190.72.0,177.190.72.255,isp,BR,AS263135 
177.190.73.0,177.190.73.3,business,BR,AS263135 
177.190.73.4,177.190.79.255,isp,BR,AS263135 
177.190.80.0,177.190.95.255,business,BR,AS262977 
177.190.96.0,177.190.111.255,hosting,BR,AS22356 
177.190.112.0,177.190.118.31,isp,BR,AS53169 
177.190.118.32,177.190.118.35,business,BR,AS53169 
177.190.118.36,177.190.127.255,isp,BR,AS53169 
177.190.128.0,177.190.129.15,business,BR,AS263452 
177.190.129.16,177.190.129.19,education,BR,AS263452 
177.190.129.20,177.190.131.255,business,BR,AS263452 
177.190.132.0,177.190.132.79,isp,BR,AS263455 
177.190.132.80,177.190.132.87,business,BR,AS263455 
177.190.132.88,177.190.132.159,isp,BR,AS263455 
177.190.132.160,177.190.132.167,education,BR,AS263455 
177.190.132.168,177.190.135.23,isp,BR,AS263455 
177.190.135.24,177.190.135.39,business,BR,AS263455 
177.190.135.40,177.190.135.55,isp,BR,AS263455 
177.190.135.56,177.190.135.63,business,BR,AS263455 
177.190.135.64,177.190.135.71,isp,BR,AS263455 
177.190.135.72,177.190.135.95,business,BR,AS263455 
177.190.135.96,177.190.135.127,isp,BR,AS263455 
177.190.135.128,177.190.135.255,business,BR,AS263455 
177.190.136.0,177.190.143.255,isp,BR,AS263453 
177.190.144.0,177.190.145.239,isp,BR,AS263456 
177.190.145.240,177.190.145.247,business,BR,AS263456 
177.190.145.248,177.190.146.71,isp,BR,AS263456 
177.190.146.72,177.190.146.79,business,BR,AS263456 
177.190.146.80,177.190.147.255,isp,BR,AS263456 
177.190.148.0,177.190.148.20,hosting,BR,AS263461 
177.190.148.21,177.190.148.21,education,BR,AS263461 
177.190.148.22,177.190.148.79,hosting,BR,AS263461 
177.190.148.80,177.190.148.83,education,BR,AS263461 
177.190.148.84,177.190.148.119,hosting,BR,AS263461 
177.190.148.120,177.190.148.120,isp,BR,AS263461 
177.190.148.121,177.190.148.146,hosting,BR,AS263461 
177.190.148.147,177.190.148.147,education,BR,AS263461 
177.190.148.148,177.190.148.210,hosting,BR,AS263461 
177.190.148.211,177.190.148.213,education,BR,AS263461 
177.190.148.214,177.190.148.243,hosting,BR,AS263461 
177.190.148.244,177.190.148.247,education,BR,AS263461 
177.190.148.248,177.190.150.79,hosting,BR,AS263461 
177.190.150.80,177.190.150.99,education,BR,AS263461 
177.190.150.100,177.190.150.247,hosting,BR,AS263461 
177.190.150.248,177.190.150.251,education,BR,AS263461 
177.190.150.252,177.190.151.255,hosting,BR,AS263461 
177.190.152.0,177.190.154.255,isp,BR,AS263457 
177.190.155.0,177.190.155.255,business,BR,AS263457 
177.190.156.0,177.190.158.255,isp,BR,AS263457 
177.190.159.0,177.190.159.255,business,BR,AS263457 
177.190.160.0,177.190.167.127,isp,BR,AS263458 
177.190.167.128,177.190.167.159,business,BR,AS263458 
177.190.167.160,177.190.167.255,isp,BR,AS263458 
177.190.168.0,177.190.175.255,isp,BR,AS263459 
177.190.176.0,177.190.183.255,isp,BR,AS262504 
177.190.184.0,177.190.185.11,isp,BR,AS263462 
177.190.185.12,177.190.185.15,business,BR,AS263462 
177.190.185.16,177.190.186.255,isp,BR,AS263462 
177.190.187.0,177.190.187.15,business,BR,AS263462 
177.190.187.16,177.190.187.23,isp,BR,AS263462 
177.190.187.24,177.190.187.27,business,BR,AS263462 
177.190.187.28,177.190.187.39,isp,BR,AS263462 
177.190.187.40,177.190.187.43,business,BR,AS263462 
177.190.187.44,177.190.188.167,isp,BR,AS263462 
177.190.188.168,177.190.188.179,business,BR,AS263462 
177.190.188.180,177.190.189.7,isp,BR,AS263462 
177.190.189.8,177.190.189.11,business,BR,AS263462 
177.190.189.12,177.190.190.10,isp,BR,AS263462 
177.190.190.11,177.190.190.11,business,BR,AS263462 
177.190.190.12,177.190.191.255,isp,BR,AS263462 
177.190.192.0,177.190.196.79,isp,BR,AS262731 
177.190.196.80,177.190.196.87,business,BR,AS262731 
177.190.196.88,177.190.197.175,isp,BR,AS262731 
177.190.197.176,177.190.197.191,business,BR,AS262731 
177.190.197.192,177.190.199.15,isp,BR,AS262731 
177.190.199.16,177.190.199.23,business,BR,AS262731 
177.190.199.24,177.190.207.255,isp,BR,AS262731 
177.190.208.0,177.190.211.255,isp,BR,AS28598 
177.190.212.0,177.190.212.255,business,BR, 
177.190.213.0,177.190.213.255,business,BR,AS267309 
177.190.214.0,177.190.214.255,business,BR,AS263403 
177.190.215.0,177.190.215.255,business,BR,AS263406 
177.190.216.0,177.190.223.255,isp,BR,AS263464 
177.190.224.0,177.190.239.255,isp,BR,AS263465 
177.190.240.0,177.190.241.31,isp,BR,AS262393 
177.190.241.32,177.190.241.63,business,BR,AS262393 
177.190.241.64,177.190.241.131,isp,BR,AS262393 
177.190.241.132,177.190.242.255,business,BR,AS262393 
177.190.243.0,177.190.243.255,isp,BR,AS262393 
177.190.244.0,177.190.245.255,business,BR,AS263118 
177.190.246.0,177.190.247.255,business,BR,AS61933 
177.190.248.0,177.190.255.255,isp,BR,AS263303 
