203.113.0.0,203.113.28.127,isp,TH 
203.113.28.128,203.113.28.143,business,TH 
203.113.28.144,203.113.63.255,isp,TH 
203.113.64.0,203.113.64.255,business,TH 
203.113.65.0,203.113.96.143,isp,TH 
203.113.96.144,203.113.96.147,business,TH 
203.113.96.148,203.113.98.75,isp,TH 
203.113.98.76,203.113.98.79,business,TH 
203.113.98.80,203.113.100.95,isp,TH 
203.113.100.96,203.113.100.127,business,TH 
203.113.100.128,203.113.100.151,isp,TH 
203.113.100.152,203.113.100.159,business,TH 
203.113.100.160,203.113.100.167,isp,TH 
203.113.100.168,203.113.100.171,business,TH 
203.113.100.172,203.113.101.199,isp,TH 
203.113.101.200,203.113.101.207,business,TH 
203.113.101.208,203.113.103.15,isp,TH 
203.113.103.16,203.113.103.19,business,TH 
203.113.103.20,203.113.115.19,isp,TH 
203.113.115.20,203.113.115.23,business,TH 
203.113.115.24,203.113.116.159,isp,TH 
203.113.116.160,203.113.116.163,business,TH 
203.113.116.164,203.113.118.39,isp,TH 
203.113.118.40,203.113.118.47,business,TH 
203.113.118.48,203.113.119.7,isp,TH 
203.113.119.8,203.113.119.15,business,TH 
203.113.119.16,203.113.119.227,isp,TH 
203.113.119.228,203.113.119.239,business,TH 
203.113.119.240,203.113.122.51,isp,TH 
203.113.122.52,203.113.122.55,business,TH 
203.113.122.56,203.113.127.255,isp,TH 
203.113.128.0,203.113.129.255,business,VN 
203.113.130.0,203.113.130.31,isp,VN 
203.113.130.32,203.113.130.63,business,VN 
203.113.130.64,203.113.130.95,isp,VN 
203.113.130.96,203.113.130.135,business,VN 
203.113.130.136,203.113.130.151,isp,VN 
203.113.130.152,203.113.130.159,business,VN 
203.113.130.160,203.113.130.175,isp,VN 
203.113.130.176,203.113.130.183,business,VN 
203.113.130.184,203.113.130.191,isp,VN 
203.113.130.192,203.113.130.231,education,VN 
203.113.130.232,203.113.130.239,business,VN 
203.113.130.240,203.113.130.255,education,VN 
203.113.131.0,203.113.132.15,business,VN 
203.113.132.16,203.113.132.31,isp,VN 
203.113.132.32,203.113.132.63,education,VN 
203.113.132.64,203.113.132.95,isp,VN 
203.113.132.96,203.113.132.111,business,VN 
203.113.132.112,203.113.132.127,education,VN 
203.113.132.128,203.113.132.159,isp,VN 
203.113.132.160,203.113.132.167,education,VN 
203.113.132.168,203.113.132.175,isp,VN 
203.113.132.176,203.113.132.231,business,VN 
203.113.132.232,203.113.132.239,isp,VN 
203.113.132.240,203.113.133.255,business,VN 
203.113.134.0,203.113.134.15,isp,VN 
203.113.134.16,203.113.134.39,business,VN 
203.113.134.40,203.113.134.71,isp,VN 
203.113.134.72,203.113.134.79,business,VN 
203.113.134.80,203.113.134.127,isp,VN 
203.113.134.128,203.113.134.135,business,VN 
203.113.134.136,203.113.134.255,isp,VN 
203.113.135.0,203.113.138.3,business,VN 
203.113.138.4,203.113.138.63,isp,VN 
203.113.138.64,203.113.138.127,business,VN 
203.113.138.128,203.113.138.223,isp,VN 
203.113.138.224,203.113.141.63,business,VN 
203.113.141.64,203.113.141.127,isp,VN 
203.113.141.128,203.113.143.199,business,VN 
203.113.143.200,203.113.143.207,isp,VN 
203.113.143.208,203.113.143.255,business,VN 
203.113.144.0,203.113.146.103,isp,VN 
203.113.146.104,203.113.146.111,business,VN 
203.113.146.112,203.113.146.119,isp,VN 
203.113.146.120,203.113.146.151,business,VN 
203.113.146.152,203.113.146.159,education,VN 
203.113.146.160,203.113.146.183,business,VN 
203.113.146.184,203.113.146.191,isp,VN 
203.113.146.192,203.113.146.207,business,VN 
203.113.146.208,203.113.146.223,isp,VN 
203.113.146.224,203.113.147.39,business,VN 
203.113.147.40,203.113.147.47,isp,VN 
203.113.147.48,203.113.147.135,business,VN 
203.113.147.136,203.113.147.175,isp,VN 
203.113.147.176,203.113.147.191,education,VN 
203.113.147.192,203.113.147.255,isp,VN 
203.113.148.0,203.113.148.127,business,VN 
203.113.148.128,203.113.148.159,education,VN 
203.113.148.160,203.113.148.175,business,VN 
203.113.148.176,203.113.148.183,isp,VN 
203.113.148.184,203.113.148.215,business,VN 
203.113.148.216,203.113.148.223,isp,VN 
203.113.148.224,203.113.148.255,business,VN 
203.113.149.0,203.113.149.255,isp,VN 
203.113.150.0,203.113.151.47,business,VN 
203.113.151.48,203.113.151.55,isp,VN 
203.113.151.56,203.113.151.151,business,VN 
203.113.151.152,203.113.151.175,isp,VN 
203.113.151.176,203.113.155.255,business,VN 
203.113.156.0,203.113.157.15,isp,VN 
203.113.157.16,203.113.157.47,business,VN 
203.113.157.48,203.113.157.51,isp,VN 
