203.102.17.0,203.102.18.255,business,AU 
203.102.19.0,203.102.113.255,isp,AU 
203.102.114.0,203.102.114.63,business,AU 
203.102.114.64,203.102.114.95,isp,AU 
203.102.114.96,203.102.114.127,business,AU 
203.102.114.128,203.102.114.191,isp,AU 
203.102.114.192,203.102.114.223,business,AU 
203.102.114.224,203.102.114.255,isp,AU 
203.102.115.0,203.102.115.159,business,AU 
203.102.115.160,203.102.115.191,business,US 
203.102.115.192,203.102.115.255,isp,AU 
203.102.116.0,203.102.118.63,business,AU 
203.102.118.64,203.102.118.127,isp,AU 
203.102.118.128,203.102.119.255,business,AU 
203.102.120.0,203.102.121.111,isp,AU 
203.102.121.112,203.102.121.127,business,AU 
203.102.121.128,203.102.127.255,isp,AU 
203.102.128.0,203.102.128.255,business,AU 
203.102.129.0,203.102.136.255,isp,AU 
203.102.137.0,203.102.137.255,business,AU 
203.102.138.0,203.102.142.71,isp,AU 
203.102.142.72,203.102.142.75,business,AU 
203.102.142.76,203.102.159.15,isp,AU 
203.102.159.16,203.102.159.23,business,AU 
203.102.159.24,203.102.210.255,isp,AU 
203.102.211.0,203.102.211.255,business,AU 
203.102.212.0,203.103.44.23,isp,AU 
