203.115.0.0,203.115.9.255,isp,LK,AS9329 
203.115.10.0,203.115.10.255,business,LK,AS9329 
203.115.11.0,203.115.31.255,isp,LK,AS9329 
203.115.32.0,203.115.63.255,business,LK,AS9329 
203.115.64.0,203.115.67.255,isp,IN,AS139560 
203.115.68.0,203.115.68.255,isp,IN,AS133661 
203.115.69.0,203.115.72.255,isp,IN,AS139560 
203.115.73.0,203.115.73.255,isp,IN,AS133661 
203.115.74.0,203.115.75.255,isp,IN,AS139560 
203.115.76.0,203.115.77.255,business,IN,AS133296 
203.115.78.0,203.115.81.255,isp,IN,AS139560 
203.115.82.0,203.115.83.255,business,IN,AS133296 
203.115.84.0,203.115.85.255,isp,IN,AS133661 
203.115.86.0,203.115.86.255,business,IN,AS133296 
203.115.87.0,203.115.90.255,isp,IN,AS139560 
203.115.91.0,203.115.91.255,isp,IN,AS133661 
203.115.92.0,203.115.92.255,isp,IN,AS139560 
203.115.93.0,203.115.94.255,business,IN, 
203.115.95.0,203.115.95.255,isp,IN,AS139560 
203.115.96.0,203.115.96.171,hosting,IN,AS17426 
203.115.96.172,203.115.96.175,education,IN,AS17426 
203.115.96.176,203.115.96.191,hosting,IN,AS17426 
203.115.96.192,203.115.96.195,education,IN,AS17426 
203.115.96.196,203.115.97.159,hosting,IN,AS17426 
203.115.97.160,203.115.97.175,education,IN,AS17426 
203.115.97.176,203.115.100.195,hosting,IN,AS17426 
203.115.100.196,203.115.100.199,isp,IN,AS17426 
203.115.100.200,203.115.101.143,hosting,IN,AS17426 
203.115.101.144,203.115.101.151,education,IN,AS17426 
203.115.101.152,203.115.102.59,hosting,IN,AS17426 
203.115.102.60,203.115.102.63,business,IN,AS17426 
203.115.102.64,203.115.103.207,hosting,IN,AS17426 
203.115.103.208,203.115.103.223,education,IN,AS17426 
203.115.103.224,203.115.105.255,hosting,IN,AS17426 
203.115.106.0,203.115.106.7,business,IN,AS17426 
203.115.106.8,203.115.106.23,hosting,IN,AS17426 
203.115.106.24,203.115.106.31,education,IN,AS17426 
203.115.106.32,203.115.107.207,hosting,IN,AS17426 
203.115.107.208,203.115.107.215,business,IN,AS17426 
203.115.107.216,203.115.114.255,hosting,IN,AS17426 
203.115.115.0,203.115.115.3,business,IN,AS17426 
203.115.115.4,203.115.127.255,hosting,IN,AS17426 
203.115.128.0,203.115.128.254,business,PH,AS6648 
203.115.128.255,203.115.128.255,isp,PH,AS6648 
203.115.129.0,203.115.129.254,business,PH,AS6648 
203.115.129.255,203.115.129.255,isp,PH,AS6648 
203.115.130.0,203.115.130.254,business,PH,AS6648 
203.115.130.255,203.115.130.255,isp,PH,AS6648 
203.115.131.0,203.115.131.254,business,PH,AS6648 
203.115.131.255,203.115.131.255,isp,PH,AS6648 
203.115.132.0,203.115.132.254,business,PH,AS6648 
203.115.132.255,203.115.132.255,isp,PH,AS6648 
203.115.133.0,203.115.133.254,business,PH,AS6648 
203.115.133.255,203.115.134.255,isp,PH,AS6648 
203.115.135.0,203.115.135.254,business,PH,AS6648 
203.115.135.255,203.115.136.0,isp,PH,AS6648 
203.115.136.1,203.115.136.6,business,PH,AS6648 
203.115.136.7,203.115.136.8,isp,PH,AS6648 
203.115.136.9,203.115.136.14,business,PH,AS6648 
203.115.136.15,203.115.136.24,isp,PH,AS6648 
203.115.136.25,203.115.136.30,business,PH,AS6648 
203.115.136.31,203.115.136.32,isp,PH,AS6648 
203.115.136.33,203.115.136.38,business,PH,AS6648 
203.115.136.39,203.115.136.40,isp,PH,AS6648 
203.115.136.41,203.115.136.46,business,PH,AS6648 
203.115.136.47,203.115.136.48,isp,PH,AS6648 
203.115.136.49,203.115.136.54,business,PH,AS6648 
203.115.136.55,203.115.136.56,isp,PH,AS6648 
203.115.136.57,203.115.136.62,business,PH,AS6648 
203.115.136.63,203.115.136.64,isp,PH,AS6648 
203.115.136.65,203.115.136.70,business,PH,AS6648 
203.115.136.71,203.115.136.72,isp,PH,AS6648 
203.115.136.73,203.115.136.78,business,PH,AS6648 
203.115.136.79,203.115.136.80,isp,PH,AS6648 
203.115.136.81,203.115.136.86,business,PH,AS6648 
203.115.136.87,203.115.136.88,isp,PH,AS6648 
203.115.136.89,203.115.136.94,business,PH,AS6648 
203.115.136.95,203.115.136.96,isp,PH,AS6648 
203.115.136.97,203.115.136.102,business,PH,AS6648 
203.115.136.103,203.115.136.104,isp,PH,AS6648 
203.115.136.105,203.115.136.110,business,PH,AS6648 
