203.168.0.0,203.168.31.255,isp,CN,AS137692 
203.168.32.0,203.168.63.255,isp,AU,AS24395 
203.168.64.0,203.168.127.255,business,JP,AS18144 
203.168.128.0,203.168.159.255,business,HK,AS9513 
203.168.160.0,203.168.191.255,isp,HK,AS9908 
203.168.192.0,203.168.223.255,business,HK,AS9908 
203.168.224.0,203.168.225.255,isp,HK,AS140570 
203.168.226.0,203.168.227.255,business,HK,AS140570 
203.168.228.0,203.168.228.255,business,HK,AS136547 
203.168.229.0,203.168.229.255,business,HK, 
203.168.230.0,203.168.231.255,isp,HK,AS142267 
203.168.232.0,203.168.239.255,business,HK,AS140570 
203.168.240.0,203.168.251.255,business,HK, 
203.168.252.0,203.168.252.255,business,HK,AS54994 
203.168.253.0,203.168.255.255,business,HK,AS24545 
