203.143.0.0,203.143.20.255,business,LK 
203.143.21.0,203.143.21.255,hosting,LK 
203.143.22.0,203.143.44.15,business,LK 
203.143.44.16,203.143.44.255,isp,LK 
203.143.45.0,203.143.45.15,business,LK 
203.143.45.16,203.143.45.255,isp,LK 
203.143.46.0,203.143.61.255,business,LK 
203.143.62.0,203.143.63.255,isp,LK 
203.143.64.0,203.143.65.255,hosting,AU 
203.143.66.0,203.143.66.193,business,AU 
203.143.66.194,203.143.95.223,hosting,AU 
203.143.95.224,203.143.95.255,isp,AU 
203.143.96.0,203.143.100.199,business,JP 
203.143.100.200,203.143.100.223,isp,JP 
203.143.100.224,203.143.101.223,business,JP 
203.143.101.224,203.143.101.239,isp,JP 
203.143.101.240,203.143.102.15,business,JP 
203.143.102.16,203.143.102.23,isp,JP 
203.143.102.24,203.143.103.15,business,JP 
203.143.103.16,203.143.103.31,isp,JP 
203.143.103.32,203.143.103.255,business,JP 
203.143.104.0,203.143.104.7,isp,JP 
203.143.104.8,203.143.104.23,business,JP 
203.143.104.24,203.143.104.31,isp,JP 
203.143.104.32,203.143.104.95,business,JP 
203.143.104.96,203.143.104.103,isp,JP 
203.143.104.104,203.143.104.111,business,JP 
203.143.104.112,203.143.104.119,isp,JP 
203.143.104.120,203.143.104.127,business,JP 
203.143.104.128,203.143.104.135,isp,JP 
203.143.104.136,203.143.104.215,business,JP 
203.143.104.216,203.143.104.239,isp,JP 
203.143.104.240,203.143.106.127,business,JP 
203.143.106.128,203.143.106.143,isp,JP 
203.143.106.144,203.143.106.223,business,JP 
203.143.106.224,203.143.106.239,isp,JP 
203.143.106.240,203.143.107.127,business,JP 
203.143.107.128,203.143.107.255,isp,JP 
203.143.108.0,203.143.108.47,business,JP 
203.143.108.48,203.143.108.63,isp,JP 
203.143.108.64,203.143.109.95,business,JP 
203.143.109.96,203.143.109.111,isp,JP 
203.143.109.112,203.143.111.87,business,JP 
203.143.111.88,203.143.111.95,isp,JP 
203.143.111.96,203.143.111.191,business,JP 
203.143.111.192,203.143.111.199,isp,JP 
203.143.111.200,203.143.111.207,business,JP 
203.143.111.208,203.143.111.223,isp,JP 
203.143.111.224,203.143.112.151,business,JP 
203.143.112.152,203.143.112.159,isp,JP 
203.143.112.160,203.143.112.255,business,JP 
203.143.113.0,203.143.113.127,isp,JP 
203.143.113.128,203.143.116.31,business,JP 
203.143.116.32,203.143.116.39,isp,JP 
203.143.116.40,203.143.116.71,business,JP 
203.143.116.72,203.143.116.95,isp,JP 
203.143.116.96,203.143.118.175,business,JP 
203.143.118.176,203.143.118.191,isp,JP 
203.143.118.192,203.143.119.23,business,JP 
203.143.119.24,203.143.119.31,isp,JP 
203.143.119.32,203.143.119.87,business,JP 
203.143.119.88,203.143.119.95,isp,JP 
203.143.119.96,203.143.119.223,business,JP 
203.143.119.224,203.143.119.231,isp,JP 
203.143.119.232,203.143.120.7,business,JP 
203.143.120.8,203.143.120.31,isp,JP 
203.143.120.32,203.143.120.47,business,JP 
203.143.120.48,203.143.120.63,isp,JP 
203.143.120.64,203.143.120.71,business,JP 
203.143.120.72,203.143.120.79,isp,JP 
203.143.120.80,203.143.121.31,business,JP 
203.143.121.32,203.143.121.47,isp,JP 
203.143.121.48,203.143.121.111,business,JP 
203.143.121.112,203.143.121.127,isp,JP 
203.143.121.128,203.143.122.63,business,JP 
203.143.122.64,203.143.122.95,isp,JP 
203.143.122.96,203.143.122.151,business,JP 
203.143.122.152,203.143.122.159,isp,JP 
203.143.122.160,203.143.122.239,business,JP 
203.143.122.240,203.143.122.247,isp,JP 
203.143.122.248,203.143.123.15,business,JP 
203.143.123.16,203.143.123.39,isp,JP 
203.143.123.40,203.143.123.47,business,JP 
203.143.123.48,203.143.123.63,isp,JP 
203.143.123.64,203.143.123.79,business,JP 
203.143.123.80,203.143.123.87,isp,JP 
203.143.123.88,203.143.123.127,business,JP 
203.143.123.128,203.143.123.255,isp,JP 
203.143.124.0,203.143.124.7,business,JP 
203.143.124.8,203.143.124.31,isp,JP 
203.143.124.32,203.143.125.15,business,JP 
203.143.125.16,203.143.125.31,isp,JP 
203.143.125.32,203.143.125.127,business,JP 
203.143.125.128,203.143.125.159,isp,JP 
203.143.125.160,203.143.125.247,business,JP 
203.143.125.248,203.143.125.255,isp,JP 
203.143.126.0,203.143.126.143,business,JP 
203.143.126.144,203.143.126.159,isp,JP 
203.143.126.160,203.143.126.167,business,JP 
203.143.126.168,203.143.126.175,isp,JP 
203.143.126.176,203.143.126.183,business,JP 
203.143.126.184,203.143.126.199,isp,JP 
203.143.126.200,203.143.126.223,business,JP 
203.143.126.224,203.143.126.231,isp,JP 
203.143.126.232,203.143.126.239,business,JP 
203.143.126.240,203.143.127.15,isp,JP 
203.143.127.16,203.143.127.79,business,JP 
203.143.127.80,203.143.127.95,isp,JP 
203.143.127.96,203.143.127.111,business,JP 
203.143.127.112,203.143.127.119,isp,JP 
203.143.127.120,203.143.127.135,business,JP 
203.143.127.136,203.143.127.151,isp,JP 
203.143.127.152,203.143.127.191,business,JP 
203.143.127.192,203.143.127.207,isp,JP 
203.143.127.208,203.143.127.223,business,JP 
203.143.127.224,203.143.127.231,isp,JP 
203.143.127.232,203.143.127.255,business,JP 
203.143.128.0,203.143.159.255,business,SG 
203.143.160.0,203.143.175.255,education,AU 
203.143.176.0,203.143.191.255,business,IN 
