203.211.0.0,203.211.31.255,isp,TW,AS9924 
203.211.142.192,203.211.142.255,business,SG,AS17547 
203.211.143.0,203.211.143.3,isp,SG,AS17547 
203.211.143.4,203.211.143.19,business,SG,AS17547 
203.211.143.20,203.211.143.29,isp,SG,AS17547 
203.211.143.30,203.211.143.63,business,SG,AS17547 
203.211.143.64,203.211.143.97,isp,SG,AS17547 
203.211.143.98,203.211.143.101,business,SG,AS17547 
203.211.143.102,203.211.143.149,isp,SG,AS17547 
203.211.143.150,203.211.143.195,business,SG,AS17547 
203.211.143.196,203.211.144.9,isp,SG,AS17547 
203.211.144.10,203.211.144.15,business,SG,AS17547 
203.211.144.16,203.211.144.47,isp,SG,AS17547 
203.211.144.48,203.211.144.79,business,SG,AS17547 
203.211.144.80,203.211.144.222,isp,SG,AS17547 
203.211.144.223,203.211.145.255,business,SG,AS17547 
203.211.146.0,203.211.148.255,isp,SG,AS17547 
203.211.149.0,203.211.149.255,business,SG,AS17547 
203.211.150.0,203.211.150.7,isp,SG,AS17547 
203.211.150.8,203.211.150.15,business,SG,AS17547 
203.211.150.16,203.211.150.35,isp,SG,AS17547 
203.211.150.36,203.211.150.51,business,SG,AS17547 
203.211.150.52,203.211.150.75,isp,SG,AS17547 
203.211.150.76,203.211.150.79,business,SG,AS17547 
203.211.150.80,203.211.150.91,isp,SG,AS17547 
203.211.150.92,203.211.150.97,business,SG,AS17547 
203.211.150.98,203.211.150.107,isp,SG,AS17547 
203.211.150.108,203.211.150.111,business,SG,AS17547 
203.211.150.112,203.211.150.127,isp,SG,AS17547 
203.211.150.128,203.211.150.143,business,SG,AS17547 
203.211.150.144,203.211.150.175,isp,SG,AS17547 
203.211.150.176,203.211.150.183,business,SG,AS17547 
203.211.150.184,203.211.150.199,isp,SG,AS17547 
203.211.150.200,203.211.150.207,business,SG,AS17547 
203.211.150.208,203.211.150.239,isp,SG,AS17547 
203.211.150.240,203.211.150.251,business,SG,AS17547 
203.211.150.252,203.211.159.255,isp,SG,AS17547 
203.211.160.0,203.211.200.255,hosting,JP,AS7671 
203.211.201.0,203.211.201.255,business,JP,AS7671 
203.211.202.0,203.211.202.87,hosting,JP,AS7671 
203.211.202.88,203.211.202.95,business,JP,AS7671 
203.211.202.96,203.211.202.111,hosting,JP,AS7671 
203.211.202.112,203.211.202.119,business,JP,AS7671 
203.211.202.120,203.211.202.127,hosting,JP,AS7671 
203.211.202.128,203.211.202.135,business,JP,AS7671 
203.211.202.136,203.211.202.143,hosting,JP,AS7671 
203.211.202.144,203.211.202.159,business,JP,AS7671 
203.211.202.160,203.211.202.223,hosting,JP,AS7671 
203.211.202.224,203.211.202.255,business,JP,AS7671 
203.211.203.0,203.211.223.255,hosting,JP,AS7671 
203.211.224.0,203.211.226.23,business,JP,AS7671 
203.211.226.24,203.211.226.31,hosting,JP,AS7671 
