203.135.0.0,203.135.63.255,isp,PK 
203.135.64.0,203.135.95.255,business,TW 
203.135.96.0,203.135.127.255,business,CN 
203.135.128.0,203.135.129.255,hosting,HK 
203.135.130.0,203.135.131.255,business,HK 
203.135.132.0,203.135.132.255,hosting,HK 
203.135.133.0,203.135.133.127,business,HK 
203.135.133.128,203.135.133.159,business,AE 
203.135.133.160,203.135.134.255,business,HK 
203.135.135.0,203.135.135.159,hosting,HK 
203.135.135.160,203.135.135.191,hosting,AE 
203.135.135.192,203.135.135.255,hosting,HK 
203.135.136.0,203.135.138.255,business,HK 
203.135.139.0,203.135.140.255,hosting,HK 
203.135.141.0,203.135.144.255,business,HK 
203.135.145.0,203.135.145.255,hosting,HK 
203.135.146.0,203.135.148.255,business,HK 
203.135.149.0,203.135.149.255,hosting,HK 
203.135.150.0,203.135.153.255,business,HK 
203.135.154.0,203.135.154.255,hosting,HK 
203.135.155.0,203.135.159.255,business,HK 
203.135.160.0,203.135.175.255,business,CN 
203.135.176.0,203.135.183.255,isp,ID 
203.135.184.0,203.135.187.255,education,AU 
203.135.188.0,203.135.188.255,business,IN 
203.135.189.0,203.135.189.255,business,SG 
203.135.190.0,203.135.191.255,business,MY 
203.135.192.0,203.135.198.15,isp,JP 
203.135.198.16,203.135.198.31,business,JP 
203.135.198.32,203.135.198.39,isp,JP 
203.135.198.40,203.135.198.55,business,JP 
203.135.198.56,203.135.198.63,education,JP 
203.135.198.64,203.135.198.71,isp,JP 
203.135.198.72,203.135.198.79,education,JP 
203.135.198.80,203.135.198.103,business,JP 
203.135.198.104,203.135.198.111,isp,JP 
203.135.198.112,203.135.198.135,business,JP 
203.135.198.136,203.135.198.143,isp,JP 
203.135.198.144,203.135.198.151,business,JP 
203.135.198.152,203.135.198.167,isp,JP 
203.135.198.168,203.135.198.191,business,JP 
203.135.198.192,203.135.198.199,isp,JP 
203.135.198.200,203.135.198.215,business,JP 
203.135.198.216,203.135.239.255,isp,JP 
203.135.240.0,203.135.240.7,business,JP 
203.135.240.8,203.135.240.23,isp,JP 
203.135.240.24,203.135.240.31,education,JP 
203.135.240.32,203.135.240.55,isp,JP 
203.135.240.56,203.135.240.63,business,JP 
203.135.240.64,203.135.240.71,isp,JP 
203.135.240.72,203.135.240.87,business,JP 
203.135.240.88,203.135.240.95,isp,JP 
203.135.240.96,203.135.240.127,business,JP 
203.135.240.128,203.135.240.175,isp,JP 
203.135.240.176,203.135.240.183,business,JP 
203.135.240.184,203.135.240.231,isp,JP 
203.135.240.232,203.135.240.239,business,JP 
203.135.240.240,203.136.16.23,isp,JP 
