203.130.0.0,203.130.31.255,isp,PK,AS24435 
203.130.32.0,203.130.63.255,business,CN,AS23724 
203.130.64.0,203.130.95.255,isp,KR,AS9756 
203.130.96.0,203.130.127.255,business,KR,AS9943 
203.130.128.0,203.130.159.255,isp,TH,AS7616 
203.130.160.0,203.130.175.255,business,AU,AS18111 
203.130.176.0,203.130.191.255,isp,KR,AS38109 
203.130.192.0,203.130.194.87,isp,ID,AS7713 
203.130.194.88,203.130.194.95,business,ID,AS7713 
203.130.194.96,203.130.194.151,isp,ID,AS7713 
203.130.194.152,203.130.194.159,business,ID,AS7713 
203.130.194.160,203.130.194.183,isp,ID,AS7713 
203.130.194.184,203.130.194.191,business,ID,AS7713 
203.130.194.192,203.130.195.47,isp,ID,AS7713 
203.130.195.48,203.130.195.63,business,ID,AS7713 
203.130.195.64,203.130.205.15,isp,ID,AS7713 
203.130.205.16,203.130.205.31,business,ID,AS7713 
203.130.205.32,203.130.205.191,isp,ID,AS7713 
203.130.205.192,203.130.205.207,business,ID,AS7713 
203.130.205.208,203.130.209.87,isp,ID,AS7713 
203.130.209.88,203.130.209.95,business,ID,AS7713 
203.130.209.96,203.130.212.159,isp,ID,AS7713 
203.130.212.160,203.130.212.175,business,ID,AS7713 
203.130.212.176,203.130.216.31,isp,ID,AS7713 
203.130.216.32,203.130.216.63,education,ID,AS7713 
203.130.216.64,203.130.227.223,isp,ID,AS7713 
203.130.227.224,203.130.227.255,business,ID,AS7713 
203.130.228.0,203.130.228.103,isp,ID,AS7713 
203.130.228.104,203.130.228.111,business,ID,AS7713 
203.130.228.112,203.130.234.135,isp,ID,AS7713 
203.130.234.136,203.130.234.143,business,ID,AS7713 
203.130.234.144,203.130.234.207,isp,ID,AS7713 
203.130.234.208,203.130.234.215,business,ID,AS7713 
203.130.234.216,203.130.236.95,isp,ID,AS7713 
203.130.236.96,203.130.236.103,business,ID,AS7713 
203.130.236.104,203.130.237.71,isp,ID,AS7713 
203.130.237.72,203.130.237.79,business,ID,AS7713 
203.130.237.80,203.130.237.87,isp,ID,AS7713 
203.130.237.88,203.130.237.95,business,ID,AS7713 
203.130.237.96,203.130.239.39,isp,ID,AS7713 
203.130.239.40,203.130.239.47,business,ID,AS7713 
203.130.239.48,203.130.239.215,isp,ID,AS7713 
203.130.239.216,203.130.239.223,business,ID,AS7713 
203.130.239.224,203.130.244.47,isp,ID,AS7713 
203.130.244.48,203.130.244.55,business,ID,AS7713 
203.130.244.56,203.130.244.255,isp,ID,AS7713 
203.130.245.0,203.130.245.63,education,ID,AS7713 
203.130.245.64,203.130.245.79,isp,ID,AS7713 
203.130.245.80,203.130.245.95,business,ID,AS7713 
203.130.245.96,203.130.246.79,isp,ID,AS7713 
203.130.246.80,203.130.246.95,business,ID,AS7713 
203.130.246.96,203.130.246.127,isp,ID,AS7713 
203.130.246.128,203.130.246.143,business,ID,AS7713 
203.130.246.144,203.130.247.95,isp,ID,AS7713 
203.130.247.96,203.130.247.111,business,ID,AS7713 
203.130.247.112,203.130.247.207,isp,ID,AS7713 
203.130.247.208,203.130.247.215,business,ID,AS7713 
203.130.247.216,203.130.249.175,isp,ID,AS7713 
203.130.249.176,203.130.249.183,business,ID,AS7713 
203.130.249.184,203.130.254.111,isp,ID,AS7713 
203.130.254.112,203.130.254.127,business,ID,AS7713 
203.130.254.128,203.130.255.255,isp,ID,AS7713 
