203.255.0.0,203.255.63.255,education,KR,AS18028 
203.255.64.0,203.255.95.255,education,KR,AS18158 
203.255.96.0,203.255.111.255,business,KR,AS4790 
203.255.112.0,203.255.119.255,isp,KR,AS9848 
203.255.120.0,203.255.123.255,hosting,AU,AS1221 
203.255.124.0,203.255.127.255,isp,KR, 
203.255.128.0,203.255.159.255,isp,KR,AS9848 
203.255.160.0,203.255.191.255,education,KR,AS9322 
203.255.192.0,203.255.207.255,business,KR,AS9318 
203.255.208.0,203.255.211.255,business,KR, 
203.255.212.0,203.255.215.255,education,KR,AS18023 
203.255.216.0,203.255.219.255,education,KR,AS18034 
203.255.220.0,203.255.221.255,education,KR,AS9970 
203.255.222.0,203.255.223.255,hosting,AU,AS1221 
203.255.224.0,203.255.231.255,education,KR,AS23975 
203.255.232.0,203.255.233.255,education,KR,AS9975 
203.255.234.0,203.255.234.255,business,KR,AS3786 
203.255.235.0,203.255.235.255,hosting,AU,AS1221 
203.255.236.0,203.255.239.255,business,KR,AS38426 
203.255.240.0,203.255.247.255,business,KR,AS9273 
203.255.248.0,203.255.255.255,business,KR,AS9270 
