203.138.0.0,203.138.23.255,isp,JP,AS2514 
203.138.24.0,203.138.24.255,business,JP,AS2514 
203.138.25.0,203.138.81.255,isp,JP,AS2514 
203.138.82.0,203.138.83.255,business,JP,AS2514 
203.138.84.0,203.138.88.255,isp,JP,AS2514 
203.138.89.0,203.138.89.255,business,JP,AS2514 
203.138.90.0,203.138.90.255,isp,JP,AS2514 
203.138.91.0,203.138.91.255,business,JP,AS2514 
203.138.92.0,203.138.103.255,isp,JP,AS2514 
203.138.104.0,203.138.107.255,business,JP,AS2514 
203.138.108.0,203.138.110.255,isp,JP,AS2514 
203.138.111.0,203.138.111.255,business,JP,AS2514 
203.138.112.0,203.138.112.255,isp,JP,AS2514 
203.138.113.0,203.138.113.255,business,JP,AS2514 
203.138.114.0,203.138.115.183,isp,JP,AS2514 
203.138.115.184,203.138.115.199,business,JP,AS2514 
203.138.115.200,203.138.115.231,isp,JP,AS2514 
203.138.115.232,203.138.115.247,business,JP,AS2514 
203.138.115.248,203.138.115.255,isp,JP,AS2514 
203.138.116.0,203.138.116.127,business,JP,AS2514 
203.138.116.128,203.138.117.255,isp,JP,AS2514 
203.138.118.0,203.138.118.255,business,JP,AS2514 
203.138.119.0,203.138.120.255,isp,JP,AS2514 
203.138.121.0,203.138.121.255,business,JP,AS2514 
203.138.122.0,203.138.127.255,isp,JP,AS2514 
203.138.128.0,203.138.128.255,business,JP,AS2514 
203.138.129.0,203.138.138.255,isp,JP,AS2514 
203.138.139.0,203.138.139.255,business,JP,AS2514 
203.138.140.0,203.138.147.255,isp,JP,AS2514 
203.138.148.0,203.138.148.255,business,JP,AS2514 
203.138.149.0,203.138.151.255,isp,JP,AS2514 
203.138.152.0,203.138.152.7,business,JP,AS2514 
203.138.152.8,203.138.152.31,isp,JP,AS2514 
203.138.152.32,203.138.152.47,education,JP,AS2514 
203.138.152.48,203.138.152.127,business,JP,AS2514 
203.138.152.128,203.138.153.255,isp,JP,AS2514 
203.138.154.0,203.138.157.127,business,JP,AS2514 
203.138.157.128,203.138.159.255,isp,JP,AS2514 
203.138.160.0,203.138.160.255,business,JP,AS2514 
203.138.161.0,203.138.161.255,isp,JP,AS2514 
203.138.162.0,203.138.163.127,business,JP,AS2514 
203.138.163.128,203.138.163.223,isp,JP,AS2514 
203.138.163.224,203.138.163.239,business,JP,AS2514 
203.138.163.240,203.138.166.63,isp,JP,AS2514 
203.138.166.64,203.138.166.127,business,JP,AS2514 
203.138.166.128,203.138.166.143,isp,JP,AS2514 
203.138.166.144,203.138.166.175,business,JP,AS2514 
203.138.166.176,203.138.176.255,isp,JP,AS2514 
203.138.177.0,203.138.178.255,business,JP,AS2514 
203.138.179.0,203.138.182.111,isp,JP,AS2514 
203.138.182.112,203.138.182.119,business,JP,AS2514 
203.138.182.120,203.138.183.63,isp,JP,AS2514 
203.138.183.64,203.138.183.79,business,JP,AS2514 
203.138.183.80,203.138.183.143,isp,JP,AS2514 
203.138.183.144,203.138.183.151,business,JP,AS2514 
203.138.183.152,203.138.183.159,isp,JP,AS2514 
203.138.183.160,203.138.183.175,business,JP,AS2514 
203.138.183.176,203.138.184.159,isp,JP,AS2514 
203.138.184.160,203.138.184.167,business,JP,AS2514 
203.138.184.168,203.138.190.255,isp,JP,AS2514 
203.138.191.0,203.138.191.255,business,JP,AS2514 
203.138.192.0,203.138.199.255,isp,JP,AS2514 
203.138.200.0,203.138.201.255,business,JP,AS2514 
203.138.202.0,203.138.223.255,isp,JP,AS2514 
203.138.224.0,203.138.227.255,business,JP,AS2514 
203.138.228.0,203.138.232.23,isp,JP,AS2514 
203.138.232.24,203.138.232.63,business,JP,AS2514 
203.138.232.64,203.138.241.127,isp,JP,AS2514 
203.138.241.128,203.138.241.191,business,JP,AS2514 
203.138.241.192,203.138.242.191,isp,JP,AS2514 
203.138.242.192,203.138.250.255,business,JP,AS2514 
203.138.251.0,203.138.251.63,isp,JP,AS2514 
203.138.251.64,203.138.251.79,business,JP,AS2514 
203.138.251.80,203.138.251.175,isp,JP,AS2514 
203.138.251.176,203.138.251.183,business,JP,AS2514 
203.138.251.184,203.138.255.255,isp,JP,AS2514 
