117.104.0.0,117.104.63.255,business,JP,AS10010 
117.104.64.0,117.104.127.255,isp,JP,AS2914 
117.104.128.0,117.104.131.255,business,JP,AS2914 
117.104.132.0,117.104.132.255,isp,JP,AS2914 
117.104.133.0,117.104.133.255,business,JP,AS2914 
117.104.134.0,117.104.139.255,isp,JP,AS2914 
117.104.140.0,117.104.144.255,business,JP,AS2914 
117.104.145.0,117.104.145.255,business,JP,AS394265 
117.104.146.0,117.104.147.255,isp,JP,AS2914 
117.104.148.0,117.104.159.255,isp,US,AS2914 
117.104.160.0,117.104.167.255,hosting,AU,AS10105 
117.104.168.0,117.104.175.255,isp,CN, 
117.104.176.0,117.104.183.255,isp,NZ,AS9245 
117.104.184.0,117.104.184.255,isp,BD,AS45273 
117.104.185.0,117.104.185.255,business,BD, 
117.104.186.0,117.104.187.255,isp,BD,AS63967 
117.104.188.0,117.104.188.255,business,JP, 
117.104.189.0,117.104.189.255,business,HK,AS45501 
117.104.190.0,117.104.190.255,business,IN, 
117.104.191.0,117.104.191.255,business,TW,AS10229 
117.104.192.0,117.104.223.255,isp,ID,AS23666 
117.104.224.0,117.104.231.255,isp,AF,AS55424 
117.104.232.0,117.104.239.255,business,IN,AS45432 
117.104.240.0,117.104.255.255,business,PH,AS9658 
