206.248.0.0,206.248.31.255,hosting,US 
206.248.32.0,206.248.63.255,isp,US 
206.248.64.0,206.248.127.255,isp,PR 
206.248.128.0,206.248.191.255,isp,CA 
206.248.192.0,206.248.192.255,business,US 
206.248.193.0,206.248.193.103,isp,US 
206.248.193.104,206.248.193.111,business,US 
206.248.193.112,206.248.193.127,isp,US 
206.248.193.128,206.248.193.191,business,US 
206.248.193.192,206.248.194.87,isp,US 
206.248.194.88,206.248.194.127,business,US 
206.248.194.128,206.248.194.143,isp,US 
206.248.194.144,206.248.194.167,business,US 
206.248.194.168,206.248.194.199,isp,US 
206.248.194.200,206.248.194.215,business,US 
206.248.194.216,206.248.194.223,isp,US 
206.248.194.224,206.248.194.239,business,US 
206.248.194.240,206.248.194.247,isp,US 
206.248.194.248,206.248.194.255,business,US 
206.248.195.0,206.248.195.23,isp,US 
206.248.195.24,206.248.195.31,business,US 
206.248.195.32,206.248.195.39,isp,US 
206.248.195.40,206.248.195.47,business,US 
206.248.195.48,206.248.195.63,isp,US 
206.248.195.64,206.248.195.95,business,US 
206.248.195.96,206.248.195.143,isp,US 
206.248.195.144,206.248.195.159,business,US 
206.248.195.160,206.248.195.239,isp,US 
206.248.195.240,206.248.195.247,business,US 
206.248.195.248,206.248.195.255,isp,US 
206.248.196.0,206.248.198.15,business,US 
206.248.198.16,206.248.198.23,isp,US 
206.248.198.24,206.248.198.31,business,US 
206.248.198.32,206.248.198.47,isp,US 
206.248.198.48,206.248.198.55,business,US 
206.248.198.56,206.248.198.95,isp,US 
206.248.198.96,206.248.198.103,business,US 
206.248.198.104,206.248.198.127,isp,US 
206.248.198.128,206.248.198.255,business,US 
206.248.199.0,206.248.199.255,isp,US 
206.248.200.0,206.248.203.255,business,US 
206.248.204.0,206.248.204.31,isp,US 
206.248.204.32,206.248.204.47,business,US 
206.248.204.48,206.248.204.79,isp,US 
206.248.204.80,206.248.204.111,business,US 
206.248.204.112,206.248.204.191,isp,US 
206.248.204.192,206.248.204.199,business,US 
206.248.204.200,206.248.204.223,isp,US 
206.248.204.224,206.248.204.231,business,US 
206.248.204.232,206.248.204.239,isp,US 
