206.159.96.0,206.159.97.255,hosting,US,AS27462 
206.159.98.0,206.159.98.47,isp,US,AS1239 
206.159.98.48,206.159.98.95,business,US,AS1239 
206.159.98.96,206.159.109.255,isp,US,AS1239 
206.159.110.0,206.159.110.255,business,US,AS1239 
206.159.111.0,206.159.111.63,isp,US,AS1239 
206.159.111.64,206.159.111.79,isp,CA,AS1239 
206.159.111.80,206.159.117.255,isp,US,AS1239 
206.159.118.0,206.159.119.255,isp,US,AS32614 
206.159.120.0,206.159.122.15,isp,US,AS1239 
206.159.122.16,206.159.122.31,business,US,AS1239 
206.159.122.32,206.159.136.103,isp,US,AS1239 
206.159.136.104,206.159.136.111,education,US,AS1239 
206.159.136.112,206.159.136.127,business,US,AS1239 
206.159.136.128,206.159.148.127,isp,US,AS1239 
206.159.148.128,206.159.148.135,business,US,AS1239 
206.159.148.136,206.159.148.136,isp,US,AS1239 
206.159.148.137,206.159.148.137,business,BH,AS1239 
206.159.148.138,206.159.148.175,isp,US,AS1239 
206.159.148.176,206.159.148.191,business,US,AS1239 
206.159.148.192,206.159.149.47,isp,US,AS1239 
206.159.149.48,206.159.149.63,business,US,AS1239 
206.159.149.64,206.159.149.127,isp,US,AS1239 
206.159.149.128,206.159.149.255,business,US,AS1239 
206.159.150.0,206.159.151.255,isp,US,AS1239 
206.159.152.0,206.159.152.62,business,US,AS29968 
206.159.152.63,206.159.154.55,isp,US,AS29968 
206.159.154.56,206.159.154.63,business,US,AS29968 
206.159.154.64,206.159.154.71,isp,US,AS29968 
206.159.154.72,206.159.154.79,business,US,AS29968 
206.159.154.80,206.159.154.87,isp,US,AS29968 
206.159.154.88,206.159.154.95,business,US,AS29968 
206.159.154.96,206.159.157.255,isp,US,AS29968 
206.159.158.0,206.159.158.255,business,US,AS29968 
206.159.159.0,206.159.159.95,isp,US,AS29968 
206.159.159.96,206.159.159.111,business,US,AS29968 
206.159.159.112,206.159.159.127,isp,US,AS29968 
206.159.159.128,206.159.159.159,business,US,AS29968 
206.159.159.160,206.159.159.231,isp,US,AS29968 
206.159.159.232,206.159.159.243,business,US,AS29968 
206.159.159.244,206.159.167.255,isp,US,AS29968 
206.159.168.0,206.159.170.255,isp,US,AS1239 
206.159.171.0,206.159.171.127,business,US,AS1239 
206.159.171.128,206.159.175.255,isp,US,AS1239 
206.159.176.0,206.159.176.255,business,US,AS1239 
206.159.177.0,206.159.177.255,isp,US,AS1239 
206.159.178.0,206.159.181.255,business,US,AS1239 
206.159.182.0,206.159.182.63,isp,US,AS1239 
206.159.182.64,206.159.183.159,business,US,AS1239 
206.159.183.160,206.159.183.191,isp,US,AS1239 
206.159.183.192,206.159.183.199,business,US,AS1239 
206.159.183.200,206.159.183.207,education,US,AS1239 
206.159.183.208,206.159.185.255,business,US,AS1239 
206.159.186.0,206.159.186.95,isp,US,AS1239 
206.159.186.96,206.159.191.255,business,US,AS1239 
206.159.192.0,206.160.133.255,isp,US,AS1239 
