206.180.0.0,206.180.63.255,business,US,AS16410 
206.180.64.0,206.180.127.255,education,US,AS26801 
206.180.128.0,206.180.139.255,isp,US,AS26744 
206.180.140.0,206.180.155.255,isp,US,AS393740 
206.180.156.0,206.180.159.255,isp,US,AS26744 
206.180.160.0,206.180.191.255,hosting,US,AS19816 
206.180.192.0,206.180.207.255,business,US,AS27023 
206.180.208.0,206.180.223.255,education,US,AS7341 
206.180.224.0,206.180.233.255,isp,US, 
206.180.234.0,206.180.234.255,business,US, 
206.180.235.0,206.180.239.255,isp,US, 
206.180.240.0,206.180.255.255,isp,CA,AS22423 
